prompt_variant,word_normalized,feature_text_normalized,feature_text_example,response_frequency,valid_response_count,response_proportion
A,(hot air) balloon,inflated and deflated on the ground before and after flights,Inflated and deflated on the ground before and after flights,1,20,0.05
A,(hot air) balloon,large fabric envelope filled with heated air,Large fabric envelope filled with heated air,5,20,0.25
A,(hot air) balloon,large fabric envelope filled with hot air,Large fabric envelope filled with hot air,12,20,0.6
A,(hot air) balloon,"large, colorful fabric envelope","large, colorful fabric envelope",3,20,0.15
A,(hot air) balloon,made of lightweight and durable materials,made of lightweight and durable materials,1,20,0.05
A,(hot air) balloon,made of lightweight materials,made of lightweight materials,1,20,0.05
A,(hot air) balloon,moves with the wind currents,moves with the wind currents,3,20,0.15
A,(hot air) balloon,moves with the wind direction,Moves with the wind direction,3,20,0.15
A,(hot air) balloon,needs a large open space for takeoff and landing,needs a large open space for takeoff and landing,1,20,0.05
A,(hot air) balloon,needs calm weather conditions for safe operation,Needs calm weather conditions for safe operation,1,20,0.05
A,(hot air) balloon,often brightly colored and decorative,Often brightly colored and decorative,2,20,0.1
A,(hot air) balloon,often colorful and decorative,Often colorful and decorative,1,20,0.05
A,(hot air) balloon,often decorated with colorful patterns,often decorated with colorful patterns,1,20,0.05
A,(hot air) balloon,often seen at festivals,often seen at festivals,1,20,0.05
A,(hot air) balloon,often seen at festivals and events,Often seen at festivals and events,6,20,0.3
A,(hot air) balloon,often used for leisure and sightseeing,often used for leisure and sightseeing,5,20,0.25
A,(hot air) balloon,often used for leisure and tourism,often used for leisure and tourism,2,20,0.1
A,(hot air) balloon,often used for recreational flights,Often used for recreational flights,4,20,0.2
A,(hot air) balloon,operated by a pilot,Operated by a pilot,1,20,0.05
A,(hot air) balloon,operates best in calm weather conditions,Operates best in calm weather conditions,1,20,0.05
A,(hot air) balloon,piloted by a certified operator,Piloted by a certified operator,3,20,0.15
A,(hot air) balloon,piloted by a trained operator,piloted by a trained operator,3,20,0.15
A,(hot air) balloon,pilots need a special license to operate,Pilots need a special license to operate,1,20,0.05
A,(hot air) balloon,pilots need certification to operate,Pilots need certification to operate,1,20,0.05
A,(hot air) balloon,popular in festivals and competitions,Popular in festivals and competitions,1,20,0.05
A,(hot air) balloon,popular in festivals and events,popular in festivals and events,1,20,0.05
A,(hot air) balloon,powered by a burner that heats the air,powered by a burner that heats the air,2,20,0.1
A,(hot air) balloon,powered by a burner to heat the air,powered by a burner to heat the air,1,20,0.05
A,(hot air) balloon,powered by a propane burner,Powered by a propane burner,1,20,0.05
A,(hot air) balloon,requires a burner to heat the air,requires a burner to heat the air,4,20,0.2
A,(hot air) balloon,requires a burner to heat the air inside,Requires a burner to heat the air inside,11,20,0.55
A,(hot air) balloon,requires a pilot to operate,requires a pilot to operate,1,20,0.05
A,(hot air) balloon,requires skilled piloting to navigate,requires skilled piloting to navigate,2,20,0.1
A,(hot air) balloon,requires skilled pilots to navigate,Requires skilled pilots to navigate,1,20,0.05
A,(hot air) balloon,requires skilled pilots to operate safely,Requires skilled pilots to operate safely,1,20,0.05
A,(hot air) balloon,rises and floats in the sky,Rises and floats in the sky,2,20,0.1
A,(hot air) balloon,rises into the sky,rises into the sky,2,20,0.1
A,(hot air) balloon,rises into the sky when heated,Rises into the sky when heated,14,20,0.7
A,(hot air) balloon,tethered flights for shorter experiences,Tethered flights for shorter experiences,1,20,0.05
A,(hot air) balloon,typically brightly colored and decorative,typically brightly colored and decorative,1,20,0.05
A,(hot air) balloon,typically has a wicker basket for passengers,typically has a wicker basket for passengers,1,20,0.05
A,(hot air) balloon,typically launches early in the morning or late in the evening,typically launches early in the morning or late in the evening,1,20,0.05
A,(hot air) balloon,typically made of nylon or similar materials,Typically made of nylon or similar materials,2,20,0.1
A,(hot air) balloon,typically round or oval shape,Typically round or oval shape,1,20,0.05
A,(hot air) balloon,typically spherical or teardrop-shaped,typically spherical or teardrop-shaped,1,20,0.05
A,(hot air) balloon,typically tethered before launch,Typically tethered before launch,1,20,0.05
A,(hot air) balloon,used for leisure and scenic flights,Used for leisure and scenic flights,1,20,0.05
A,(hot air) balloon,used for leisure and sightseeing,Used for leisure and sightseeing,5,20,0.25
A,(hot air) balloon,used for leisure and tourism,used for leisure and tourism,1,20,0.05
A,(hot air) balloon,used for recreational flights and events,Used for recreational flights and events,1,20,0.05
A,(hot air) balloon,used for recreational flights and tourism,Used for recreational flights and tourism,1,20,0.05
A,(hot air) balloon,used for short flights and experiences,used for short flights and experiences,1,20,0.05
A,(hot air) balloon,used in festivals and competitions,Used in festivals and competitions,4,20,0.2
A,(hot air) balloon,uses a burner to heat the air,uses a burner to heat the air,1,20,0.05
A,(hot air) balloon,usually colorful and decorative,usually colorful and decorative,1,20,0.05
A,(hot air) balloon,usually has a wicker basket,usually has a wicker basket,1,20,0.05
A,(hot air) balloon,usually has a wicker basket for passengers,usually has a wicker basket for passengers,6,20,0.3
A,(hot air) balloon,usually round or teardrop-shaped,usually round or teardrop-shaped,1,20,0.05
A,(hot air) balloon,usually spherical or teardrop-shaped,usually spherical or teardrop-shaped,1,20,0.05
A,(hot air) balloon,usually tethered to a basket for passengers,usually tethered to a basket for passengers,1,20,0.05
A,accordion,available in various sizes,Available in various sizes,1,20,0.05
A,accordion,bellows expand and contract,bellows expand and contract,1,20,0.05
A,accordion,can be carried and played while standing,can be carried and played while standing,3,20,0.15
A,accordion,can be large and heavy to carry,Can be large and heavy to carry,1,20,0.05
A,accordion,can be large or small,can be large or small,1,20,0.05
A,accordion,can be loud or soft,Can be loud or soft,1,20,0.05
A,accordion,can be played sitting or standing,Can be played sitting or standing,7,20,0.35
A,accordion,can be played solo or in ensembles,Can be played solo or in ensembles,4,20,0.2
A,accordion,can be played while standing or sitting,Can be played while standing or sitting,2,20,0.1
A,accordion,can be tuned to different pitches,Can be tuned to different pitches,2,20,0.1
A,accordion,can have a piano-like keyboard,can have a piano-like keyboard,2,20,0.1
A,accordion,can have buttons on both sides,Can have buttons on both sides,1,20,0.05
A,accordion,can have buttons on the other side,can have buttons on the other side,1,20,0.05
A,accordion,can have buttons or piano-like keys,Can have buttons or piano-like keys,1,20,0.05
A,accordion,can produce a wide range of notes,Can produce a wide range of notes,3,20,0.15
A,accordion,can produce a wide range of tones,Can produce a wide range of tones,4,20,0.2
A,accordion,can produce a wide range of tones and dynamics,Can produce a wide range of tones and dynamics,1,20,0.05
A,accordion,can produce both melody and harmony,can produce both melody and harmony,1,20,0.05
A,accordion,comes in various sizes,Comes in various sizes,4,20,0.2
A,accordion,comes in various sizes and types,comes in various sizes and types,7,20,0.35
A,accordion,common in european and american cultures,Common in European and American cultures,4,20,0.2
A,accordion,common in folk and traditional music,Common in folk and traditional music,4,20,0.2
A,accordion,common in folk music,Common in folk music,1,20,0.05
A,accordion,commonly found in european and american music,commonly found in European and American music,1,20,0.05
A,accordion,famous in genres like polka and klezmer,Famous in genres like polka and klezmer,1,20,0.05
A,accordion,features buttons or piano-like keys,Features buttons or piano-like keys,1,20,0.05
A,accordion,frequently featured in polka and klezmer music,Frequently featured in polka and klezmer music,1,20,0.05
A,accordion,frequently seen at festivals and street performances,Frequently seen at festivals and street performances,1,20,0.05
A,accordion,frequently seen at festivals and weddings,Frequently seen at festivals and weddings,1,20,0.05
A,accordion,frequently seen in street performances,Frequently seen in street performances,2,20,0.1
A,accordion,frequently used in polka and klezmer music,Frequently used in polka and klezmer music,2,20,0.1
A,accordion,has a distinctive accordion sound,has a distinctive accordion sound,4,20,0.2
A,accordion,has a distinctive sound,has a distinctive sound,1,20,0.05
A,accordion,has a distinctive squeezebox shape,has a distinctive squeezebox shape,1,20,0.05
A,accordion,has a distinctive squeezing motion,Has a distinctive squeezing motion,3,20,0.15
A,accordion,has a distinctive squeezing sound when played,Has a distinctive squeezing sound when played,1,20,0.05
A,accordion,has a keyboard on one side,has a keyboard on one side,1,20,0.05
A,accordion,has bellows and buttons,has bellows and buttons,1,20,0.05
A,accordion,has bellows and buttons or keys,Has bellows and buttons or keys,10,20,0.5
A,accordion,has bellows and keys,Has bellows and keys,5,20,0.25
A,accordion,has bellows that expand and contract,has bellows that expand and contract,3,20,0.15
A,accordion,has buttons and keys,has buttons and keys,1,20,0.05
A,accordion,has keys or buttons on both sides,has keys or buttons on both sides,1,20,0.05
A,accordion,has reeds inside that vibrate,has reeds inside that vibrate,1,20,0.05
A,accordion,is portable and can be played while standing or sitting,is portable and can be played while standing or sitting,1,20,0.05
A,accordion,makes music when squeezed,makes music when squeezed,2,20,0.1
A,accordion,often associated with european and american cultures,Often associated with European and American cultures,1,20,0.05
A,accordion,often has a piano-like keyboard on one side,Often has a piano-like keyboard on one side,2,20,0.1
A,accordion,often played in folk music,often played in folk music,1,20,0.05
A,accordion,often used in folk and traditional music,Often used in folk and traditional music,8,20,0.4
A,accordion,often used in folk music,Often used in folk music,6,20,0.3
A,accordion,often used in polka and klezmer,Often used in polka and klezmer,1,20,0.05
A,accordion,often used in polka and klezmer music,Often used in polka and klezmer music,1,20,0.05
A,accordion,originated in europe in the 19th century,originated in Europe in the 19th century,2,20,0.1
A,accordion,originated in europe in the early 19th century,originated in Europe in the early 19th century,2,20,0.1
A,accordion,played by pressing keys or buttons,played by pressing keys or buttons,1,20,0.05
A,accordion,popular in european and american cultures,Popular in European and American cultures,2,20,0.1
A,accordion,portable musical instrument,Portable musical instrument,16,20,0.8
A,accordion,produces a distinctive sound,produces a distinctive sound,1,20,0.05
A,accordion,produces sound by air movement,Produces sound by air movement,2,20,0.1
A,accordion,produces sound by air moving through reeds,Produces sound by air moving through reeds,12,20,0.6
A,accordion,produces sound by pressing buttons or keys,Produces sound by pressing buttons or keys,1,20,0.05
A,accordion,produces sound through reeds,produces sound through reeds,3,20,0.15
A,accordion,produces sound when keys are pressed,produces sound when keys are pressed,1,20,0.05
A,accordion,requires both hands to play,Requires both hands to play,16,20,0.8
A,accordion,requires breath control and finger dexterity,Requires breath control and finger dexterity,2,20,0.1
A,accordion,requires breath control to play,requires breath control to play,1,20,0.05
A,accordion,typically has a piano-like keyboard on one side,Typically has a piano-like keyboard on one side,1,20,0.05
A,accordion,used in genres like polka and klezmer,Used in genres like polka and klezmer,1,20,0.05
A,accordion,used in polka and klezmer music,Used in polka and klezmer music,7,20,0.35
A,accordion,used in various genres like polka and tango,used in various genres like polka and tango,3,20,0.15
A,accordion,varies in size and complexity,Varies in size and complexity,3,20,0.15
A,adjustable spanner,also called a crescent wrench,also called a crescent wrench,1,20,0.05
A,adjustable spanner,also known as a crescent wrench,also known as a crescent wrench,1,20,0.05
A,adjustable spanner,available in different sizes and lengths,Available in different sizes and lengths,1,20,0.05
A,adjustable spanner,available in various sizes,Available in various sizes,4,20,0.2
A,adjustable spanner,available in various sizes and lengths,Available in various sizes and lengths,1,20,0.05
A,adjustable spanner,can adjust to fit different bolt sizes,Can adjust to fit different bolt sizes,2,20,0.1
A,adjustable spanner,can adjust to fit different sizes of nuts and bolts,Can adjust to fit different sizes of nuts and bolts,2,20,0.1
A,adjustable spanner,can be adjusted to fit different sizes of nuts and bolts,Can be adjusted to fit different sizes of nuts and bolts,1,20,0.05
A,adjustable spanner,can be adjusted using a screw mechanism,can be adjusted using a screw mechanism,2,20,0.1
A,adjustable spanner,can be adjusted with a screw mechanism,can be adjusted with a screw mechanism,1,20,0.05
A,adjustable spanner,can be found in most toolboxes,can be found in most toolboxes,1,20,0.05
A,adjustable spanner,can be found in toolboxes and hardware stores,Can be found in toolboxes and hardware stores,1,20,0.05
A,adjustable spanner,can be heavy,Can be heavy,1,20,0.05
A,adjustable spanner,can be heavy and durable,can be heavy and durable,1,20,0.05
A,adjustable spanner,can be slippery if not properly adjusted,can be slippery if not properly adjusted,1,20,0.05
A,adjustable spanner,can be used for a variety of sizes without needing multiple tools,can be used for a variety of sizes without needing multiple tools,1,20,0.05
A,adjustable spanner,can be used for both metric and imperial nuts,Can be used for both metric and imperial nuts,1,20,0.05
A,adjustable spanner,can be used for various sizes of nuts,can be used for various sizes of nuts,1,20,0.05
A,adjustable spanner,can be used in tight spaces,can be used in tight spaces,4,20,0.2
A,adjustable spanner,can be used in various mechanical tasks,Can be used in various mechanical tasks,1,20,0.05
A,adjustable spanner,can be used on both metric and imperial bolts,Can be used on both metric and imperial bolts,1,20,0.05
A,adjustable spanner,can be used on hexagonal and square nuts,can be used on hexagonal and square nuts,1,20,0.05
A,adjustable spanner,can fit a range of nut sizes without needing multiple tools,can fit a range of nut sizes without needing multiple tools,1,20,0.05
A,adjustable spanner,can fit a range of sizes,Can fit a range of sizes,1,20,0.05
A,adjustable spanner,can fit multiple sizes of fasteners,can fit multiple sizes of fasteners,2,20,0.1
A,adjustable spanner,can fit various sizes of fasteners,can fit various sizes of fasteners,2,20,0.1
A,adjustable spanner,can sometimes have a locking mechanism to keep the jaw in place,can sometimes have a locking mechanism to keep the jaw in place,1,20,0.05
A,adjustable spanner,comes in different sizes,comes in different sizes,4,20,0.2
A,adjustable spanner,"comes in different sizes, typically measured by the length of the handle","comes in different sizes, typically measured by the length of the handle",1,20,0.05
A,adjustable spanner,comes in various sizes,comes in various sizes,8,20,0.4
A,adjustable spanner,commonly found in toolboxes,commonly found in toolboxes,8,20,0.4
A,adjustable spanner,commonly found in toolboxes and workshops,commonly found in toolboxes and workshops,1,20,0.05
A,adjustable spanner,commonly used by mechanics,commonly used by mechanics,2,20,0.1
A,adjustable spanner,commonly used by mechanics and diy enthusiasts,commonly used by mechanics and DIY enthusiasts,1,20,0.05
A,adjustable spanner,commonly used by mechanics and plumbers,commonly used by mechanics and plumbers,5,20,0.25
A,adjustable spanner,durable and long-lasting,Durable and long-lasting,1,20,0.05
A,adjustable spanner,found in most toolboxes,found in most toolboxes,3,20,0.15
A,adjustable spanner,grips nuts securely,grips nuts securely,1,20,0.05
A,adjustable spanner,grips securely to prevent slipping,grips securely to prevent slipping,1,20,0.05
A,adjustable spanner,grips the nut or bolt firmly,grips the nut or bolt firmly,1,20,0.05
A,adjustable spanner,grips the nut securely to prevent slipping,Grips the nut securely to prevent slipping,1,20,0.05
A,adjustable spanner,grips the nut securely when tightened,grips the nut securely when tightened,1,20,0.05
A,adjustable spanner,grips various sizes of fasteners,grips various sizes of fasteners,1,20,0.05
A,adjustable spanner,has a durable design,has a durable design,1,20,0.05
A,adjustable spanner,has a grip on the handle,has a grip on the handle,2,20,0.1
A,adjustable spanner,has a grip on the handle for better control,has a grip on the handle for better control,1,20,0.05
A,adjustable spanner,has a gripping mechanism on one side,Has a gripping mechanism on one side,1,20,0.05
A,adjustable spanner,has a handle for gripping and applying torque,Has a handle for gripping and applying torque,1,20,0.05
A,adjustable spanner,has a handle for leverage,has a handle for leverage,3,20,0.15
A,adjustable spanner,has a locking mechanism to hold the jaw in place,Has a locking mechanism to hold the jaw in place,1,20,0.05
A,adjustable spanner,has a locking mechanism to secure the jaw,Has a locking mechanism to secure the jaw,1,20,0.05
A,adjustable spanner,has a movable jaw,has a movable jaw,10,20,0.5
A,adjustable spanner,has a movable jaw that can adjust to different sizes,has a movable jaw that can adjust to different sizes,1,20,0.05
A,adjustable spanner,has a movable jaw that can be tightened or loosened,Has a movable jaw that can be tightened or loosened,3,20,0.15
A,adjustable spanner,has a movable jaw to fit different sizes,has a movable jaw to fit different sizes,6,20,0.3
A,adjustable spanner,"has a robust, durable design","has a robust, durable design",1,20,0.05
A,adjustable spanner,has a screw mechanism to adjust the jaw width,has a screw mechanism to adjust the jaw width,3,20,0.15
A,adjustable spanner,has a smooth finish for better grip,has a smooth finish for better grip,1,20,0.05
A,adjustable spanner,has a smooth grip handle,has a smooth grip handle,1,20,0.05
A,adjustable spanner,has a smooth handle,Has a smooth handle,1,20,0.05
A,adjustable spanner,has a smooth or textured grip for better handling,has a smooth or textured grip for better handling,1,20,0.05
A,adjustable spanner,"has a smooth, adjustable mechanism","has a smooth, adjustable mechanism",1,20,0.05
A,adjustable spanner,"has a smooth, flat handle","has a smooth, flat handle",1,20,0.05
A,adjustable spanner,"has a smooth, gripping surface on the handle","has a smooth, gripping surface on the handle",1,20,0.05
A,adjustable spanner,jaw can be adjusted with a screw mechanism,jaw can be adjusted with a screw mechanism,2,20,0.1
A,adjustable spanner,jaw is adjusted by turning a screw,Jaw is adjusted by turning a screw,1,20,0.05
A,adjustable spanner,jaw is adjusted by turning a worm gear,jaw is adjusted by turning a worm gear,2,20,0.1
A,adjustable spanner,jaw size can be adjusted with a screw,jaw size can be adjusted with a screw,2,20,0.1
A,adjustable spanner,made of metal,made of metal,10,20,0.5
A,adjustable spanner,"made of metal, usually steel","made of metal, usually steel",10,20,0.5
A,adjustable spanner,may have a stamped size range on the handle,may have a stamped size range on the handle,2,20,0.1
A,adjustable spanner,often called a crescent wrench,often called a crescent wrench,1,20,0.05
A,adjustable spanner,often found in toolboxes,often found in toolboxes,3,20,0.15
A,adjustable spanner,often has a c-shaped opening,often has a C-shaped opening,1,20,0.05
A,adjustable spanner,often has a knurled adjusting screw,often has a knurled adjusting screw,1,20,0.05
A,adjustable spanner,often has a knurled adjustment screw,often has a knurled adjustment screw,2,20,0.1
A,adjustable spanner,often has a knurled adjustment screw for better grip,Often has a knurled adjustment screw for better grip,1,20,0.05
A,adjustable spanner,often has a locking mechanism to keep the jaw in place,Often has a locking mechanism to keep the jaw in place,1,20,0.05
A,adjustable spanner,often has a smooth finish,often has a smooth finish,1,20,0.05
A,adjustable spanner,"often has a smooth, ergonomic handle","Often has a smooth, ergonomic handle",1,20,0.05
A,adjustable spanner,"often has a smooth, grooved handle for grip","often has a smooth, grooved handle for grip",1,20,0.05
A,adjustable spanner,often has metric and imperial markings,Often has metric and imperial markings,1,20,0.05
A,adjustable spanner,often part of a toolbox,often part of a toolbox,1,20,0.05
A,adjustable spanner,often used by mechanics and diy enthusiasts,often used by mechanics and DIY enthusiasts,2,20,0.1
A,adjustable spanner,often used by mechanics and plumbers,often used by mechanics and plumbers,2,20,0.1
A,adjustable spanner,sometimes called a crescent wrench,Sometimes called a crescent wrench,1,20,0.05
A,adjustable spanner,the adjustable jaw is controlled by a worm gear mechanism,the adjustable jaw is controlled by a worm gear mechanism,1,20,0.05
A,adjustable spanner,used by mechanics and diy enthusiasts,Used by mechanics and DIY enthusiasts,1,20,0.05
A,adjustable spanner,used for tightening or loosening nuts and bolts,Used for tightening or loosening nuts and bolts,2,20,0.1
A,adjustable spanner,used for turning nuts and bolts,Used for turning nuts and bolts,3,20,0.15
A,adjustable spanner,used in automotive and home repairs,used in automotive and home repairs,3,20,0.15
A,adjustable spanner,used in automotive repair,used in automotive repair,1,20,0.05
A,adjustable spanner,used in plumbing and automotive repairs,used in plumbing and automotive repairs,4,20,0.2
A,adjustable spanner,used to tighten or loosen nuts and bolts,used to tighten or loosen nuts and bolts,15,20,0.75
A,adjustable spanner,usually has a c-shaped opening,usually has a C-shaped opening,1,20,0.05
A,airplane,can carry passengers and cargo,can carry passengers and cargo,1,20,0.05
A,airplane,can carry passengers or cargo,can carry passengers or cargo,1,20,0.05
A,airplane,can fly at high altitudes,can fly at high altitudes,2,20,0.1
A,airplane,can fly long distances,can fly long distances,2,20,0.1
A,airplane,can fly long distances over oceans and continents,can fly long distances over oceans and continents,1,20,0.05
A,airplane,can travel long distances,can travel long distances,2,20,0.1
A,airplane,can vary in size from small to very large,can vary in size from small to very large,2,20,0.1
A,airplane,carries passengers,carries passengers,5,20,0.25
A,airplane,carries passengers and cargo,carries passengers and cargo,13,20,0.65
A,airplane,comes in various sizes,comes in various sizes,5,20,0.25
A,airplane,controlled by pilots,controlled by pilots,1,20,0.05
A,airplane,equipped with navigation and communication systems,equipped with navigation and communication systems,1,20,0.05
A,airplane,flies at high altitudes,flies at high altitudes,3,20,0.15
A,airplane,flies through the air,flies through the air,17,20,0.85
A,airplane,found at airports,found at airports,1,20,0.05
A,airplane,found at airports around the world,found at airports around the world,1,20,0.05
A,airplane,has a cockpit,has a cockpit,5,20,0.25
A,airplane,has a cockpit and cabin,has a cockpit and cabin,2,20,0.1
A,airplane,has a cockpit for pilots,has a cockpit for pilots,12,20,0.6
A,airplane,has a fuselage for seating and storage,has a fuselage for seating and storage,2,20,0.1
A,airplane,has a tail,has a tail,1,20,0.05
A,airplane,has emergency exits and safety equipment,has emergency exits and safety equipment,1,20,0.05
A,airplane,has engines for propulsion,has engines for propulsion,1,20,0.05
A,airplane,has seats and aisles,has seats and aisles,2,20,0.1
A,airplane,has seats and aisles for passengers,has seats and aisles for passengers,1,20,0.05
A,airplane,has seats for comfort,has seats for comfort,1,20,0.05
A,airplane,has seats for passengers,has seats for passengers,2,20,0.1
A,airplane,has wings,has wings,11,20,0.55
A,airplane,has wings and a tail,has wings and a tail,6,20,0.3
A,airplane,has wings for flight,has wings for flight,3,20,0.15
A,airplane,is a symbol of modern travel,is a symbol of modern travel,1,20,0.05
A,airplane,is controlled by pilots,is controlled by pilots,1,20,0.05
A,airplane,is made of lightweight materials,is made of lightweight materials,3,20,0.15
A,airplane,is made of lightweight materials like aluminum and composites,is made of lightweight materials like aluminum and composites,1,20,0.05
A,airplane,is made of metal,is made of metal,3,20,0.15
A,airplane,is made of metal and composite materials,is made of metal and composite materials,4,20,0.2
A,airplane,is operated by pilots,is operated by pilots,2,20,0.1
A,airplane,is powered by jet engines or propellers,is powered by jet engines or propellers,3,20,0.15
A,airplane,is used for commercial and military purposes,is used for commercial and military purposes,3,20,0.15
A,airplane,is used for long-distance travel,is used for long-distance travel,1,20,0.05
A,airplane,is used for travel and transportation,is used for travel and transportation,1,20,0.05
A,airplane,lands on runways,lands on runways,5,20,0.25
A,airplane,made of lightweight materials,made of lightweight materials,2,20,0.1
A,airplane,made of metal,made of metal,2,20,0.1
A,airplane,made of metal and composite materials,made of metal and composite materials,1,20,0.05
A,airplane,often painted with airline logos,often painted with airline logos,1,20,0.05
A,airplane,operated by pilots,operated by pilots,1,20,0.05
A,airplane,powered by jet engines or propellers,powered by jet engines or propellers,3,20,0.15
A,airplane,produces engine noise,produces engine noise,1,20,0.05
A,airplane,propelled by jet engines or propellers,propelled by jet engines or propellers,2,20,0.1
A,airplane,requires a pilot to operate,requires a pilot to operate,1,20,0.05
A,airplane,requires a runway for takeoff and landing,requires a runway for takeoff and landing,2,20,0.1
A,airplane,requires fuel,requires fuel,1,20,0.05
A,airplane,requires fuel to operate,requires fuel to operate,3,20,0.15
A,airplane,requires runways for takeoff and landing,requires runways for takeoff and landing,1,20,0.05
A,airplane,takes off and lands on runways,takes off and lands on runways,11,20,0.55
A,airplane,travels long distances,travels long distances,5,20,0.25
A,airplane,travels long distances quickly,travels long distances quickly,3,20,0.15
A,airplane,typically made of metal,typically made of metal,1,20,0.05
A,airplane,used for long-distance travel,used for long-distance travel,6,20,0.3
A,airplane,used for travel and transportation,used for travel and transportation,2,20,0.1
A,airplane,uses jet engines,uses jet engines,5,20,0.25
A,airplane,uses jet engines or propellers,uses jet engines or propellers,6,20,0.3
A,airplane,uses navigation systems for safety,uses navigation systems for safety,1,20,0.05
A,airplane,varies in size from small to very large,varies in size from small to very large,3,20,0.15
A,alligator,can grow up to 14 feet long,can grow up to 14 feet long,6,20,0.3
A,alligator,can grow up to 15 feet long,can grow up to 15 feet long,3,20,0.15
A,alligator,can open its mouth very wide,can open its mouth very wide,3,20,0.15
A,alligator,can remain motionless for long periods,can remain motionless for long periods,4,20,0.2
A,alligator,can remain motionless for long periods while hunting,can remain motionless for long periods while hunting,1,20,0.05
A,alligator,can remain submerged for long periods,can remain submerged for long periods,6,20,0.3
A,alligator,can remain submerged for up to an hour,can remain submerged for up to an hour,1,20,0.05
A,alligator,can remain underwater for long periods,can remain underwater for long periods,1,20,0.05
A,alligator,can stay underwater for a long time,can stay underwater for a long time,1,20,0.05
A,alligator,can stay underwater for long periods,can stay underwater for long periods,1,20,0.05
A,alligator,can swim very fast,can swim very fast,7,20,0.35
A,alligator,"covered in tough, scaly skin","covered in tough, scaly skin",1,20,0.05
A,alligator,eats fish and small mammals,eats fish and small mammals,6,20,0.3
A,alligator,"eats fish, turtles, and small mammals","eats fish, turtles, and small mammals",2,20,0.1
A,alligator,"has a broad, flat snout","has a broad, flat snout",20,20,1.0
A,alligator,"has a long, powerful tail","has a long, powerful tail",20,20,1.0
A,alligator,has sharp teeth and a strong bite,has sharp teeth and a strong bite,1,20,0.05
A,alligator,has sharp teeth for catching prey,has sharp teeth for catching prey,1,20,0.05
A,alligator,"has sharp, conical teeth","has sharp, conical teeth",15,20,0.75
