word_key,word_forms,n_occurrences,n_sources,roles,appears_as_critical_distractor,appears_as_list_word,source_papers,datasets,critical_distractor_for_lists,list_word_in_lists,associated_critical_items_when_list_word,mean_item_log_frequency_available,mean_item_BAS_to_critical_available,mean_item_FAS_from_critical_available,occurrences_json
almonds,almonds,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::bitter,bitter,1.84509804001426,0.0,0.0,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::bitter"", ""critical_item"": ""bitter"", ""role"": ""list_word"", ""position"": ""T12""}]"
alone,Alone,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::single,single,2.41,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::single"", ""critical_item"": ""Single"", ""role"": ""list_word"", ""position"": ""T1""}]"
always,Always,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::forever,forever,2.76,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::forever"", ""critical_item"": ""Forever"", ""role"": ""list_word"", ""position"": ""T3""}]"
american,american,2,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::citizen; roediger2001_55::flag,citizen; flag,3.71717102683231,0.117,0.1775,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::citizen"", ""critical_item"": ""citizen"", ""role"": ""list_word"", ""position"": ""T4""}, {""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::flag"", ""critical_item"": ""flag"", ""role"": ""list_word"", ""position"": ""T2""}]"
angel,Angel,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::bridge,bridge,1.49,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::bridge"", ""critical_item"": ""Bridge"", ""role"": ""list_word"", ""position"": ""T2""}]"
anger,anger,1,1,critical_distractor,True,False,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,roediger2001_55::anger,,,2.99651167215418,,,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::anger"", ""critical_item"": ""anger"", ""role"": ""critical_distractor"", ""position"": ""CD""}]"
angry,angry,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::bitter,bitter,3.47842218774008,0.0,0.0,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::bitter"", ""critical_item"": ""bitter"", ""role"": ""list_word"", ""position"": ""T8""}]"
animal,animal,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::spider,spider,3.36567514045592,0.0,0.0,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::spider"", ""critical_item"": ""spider"", ""role"": ""list_word"", ""position"": ""T12""}]"
ankle,ankle,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::foot,foot,2.61278385671974,0.364,0.0,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::foot"", ""critical_item"": ""foot"", ""role"": ""list_word"", ""position"": ""T9""}]"
answer,Answer,1,1,critical_distractor,True,False,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,brainerd2020_120::answer,,,2.3,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::answer"", ""critical_item"": ""Answer"", ""role"": ""critical_distractor"", ""position"": ""CD""}]"
anthem,anthem,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::flag,flag,1.98677173426624,0.062,0.0,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::flag"", ""critical_item"": ""flag"", ""role"": ""list_word"", ""position"": ""T5""}]"
anxiety,Anxiety,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::stress,stress,1.57,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::stress"", ""critical_item"": ""Stress"", ""role"": ""list_word"", ""position"": ""T3""}]"
anxious,Anxious,1,1,critical_distractor,True,False,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,brainerd2020_120::anxious,,,1.79,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::anxious"", ""critical_item"": ""Anxious"", ""role"": ""critical_distractor"", ""position"": ""CD""}]"
apology,Apology,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::approval,approval,0.97,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::approval"", ""critical_item"": ""Approval"", ""role"": ""list_word"", ""position"": ""T2""}]"
apple,Apple; apple,2,2,list_word,False,True,"Brainerd, Chang, & Bialer (2020); Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Brainerd2020_120_4word_lists; Roediger2001_55_15word_lists,,brainerd2020_120::fruit; roediger2001_55::fruit,fruit,2.311033467142555,0.154,0.223,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::fruit"", ""critical_item"": ""Fruit"", ""role"": ""list_word"", ""position"": ""T1""}, {""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::fruit"", ""critical_item"": ""fruit"", ""role"": ""list_word"", ""position"": ""T1""}]"
appointment,Appointment,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::schedule,schedule,1.46,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::schedule"", ""critical_item"": ""Schedule"", ""role"": ""list_word"", ""position"": ""T1""}]"
approval,Approval,1,1,critical_distractor,True,False,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,brainerd2020_120::approval,,,1.42,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::approval"", ""critical_item"": ""Approval"", ""role"": ""critical_distractor"", ""position"": ""CD""}]"
arachnid,arachnid,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::spider,spider,1.14612803567824,0.704,0.079,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::spider"", ""critical_item"": ""spider"", ""role"": ""list_word"", ""position"": ""T6""}]"
architect,Architect,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::design,design,1.04,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::design"", ""critical_item"": ""Design"", ""role"": ""list_word"", ""position"": ""T1""}]"
arctic,arctic,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::cold,cold,2.00432137378264,0.642,0.0,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::cold"", ""critical_item"": ""cold"", ""role"": ""list_word"", ""position"": ""T14""}]"
arm,arm,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::foot,foot,3.52335620665479,0.0,0.0,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::foot"", ""critical_item"": ""foot"", ""role"": ""list_word"", ""position"": ""T10""}]"
army,Army; army,3,2,critical_distractor; list_word,True,True,"Brainerd, Chang, & Bialer (2020); Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Brainerd2020_120_4word_lists; Roediger2001_55_15word_lists,brainerd2020_120::army; roediger2001_55::army,roediger2001_55::command,command,3.1203872043264336,0.0,0.034,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::army"", ""critical_item"": ""Army"", ""role"": ""critical_distractor"", ""position"": ""CD""}, {""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::army"", ""critical_item"": ""army"", ""role"": ""critical_distractor"", ""position"": ""CD""}, {""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::command"", ""critical_item"": ""command"", ""role"": ""list_word"", ""position"": ""T2""}]"
aroma,aroma,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::smell,smell,1.84509804001426,0.678,0.0,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::smell"", ""critical_item"": ""smell"", ""role"": ""list_word"", ""position"": ""T4""}]"
arrest,Arrest,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::police,police,1.34,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::police"", ""critical_item"": ""Police"", ""role"": ""list_word"", ""position"": ""T1""}]"
art,Art; art,2,2,critical_distractor; list_word,True,True,"Brainerd, Chang, & Bialer (2020); Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Brainerd2020_120_4word_lists; Roediger2001_55_15word_lists,brainerd2020_120::art,roediger2001_55::music,music,2.8938738708207348,0.02,0.02,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::art"", ""critical_item"": ""Art"", ""role"": ""critical_distractor"", ""position"": ""CD""}, {""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::music"", ""critical_item"": ""music"", ""role"": ""list_word"", ""position"": ""T14""}]"
ashes,Ashes; ashes,2,2,list_word,False,True,"Brainerd, Chang, & Bialer (2020); Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Brainerd2020_120_4word_lists; Roediger2001_55_15word_lists,,brainerd2020_120::smoke; roediger2001_55::smoke,smoke,1.956215268222765,0.052,0.0,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::smoke"", ""critical_item"": ""Smoke"", ""role"": ""list_word"", ""position"": ""T1""}, {""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::smoke"", ""critical_item"": ""smoke"", ""role"": ""list_word"", ""position"": ""T6""}]"
asphalt,Asphalt,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::ball,ball,0.12,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::ball"", ""critical_item"": ""Ball"", ""role"": ""list_word"", ""position"": ""T3""}]"
astronomy,Astronomy,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::police,police,0.77,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::police"", ""critical_item"": ""Police"", ""role"": ""list_word"", ""position"": ""T3""}]"
atlas,Atlas,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::map,map,0.47,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::map"", ""critical_item"": ""Map"", ""role"": ""list_word"", ""position"": ""T1""}]"
attention,attention,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::command,command,3.70182693039714,0.0,0.0,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::command"", ""critical_item"": ""command"", ""role"": ""list_word"", ""position"": ""T14""}]"
attractive,Attractive,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::pretty,pretty,1.54,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::pretty"", ""critical_item"": ""Pretty"", ""role"": ""list_word"", ""position"": ""T1""}]"
aunt,aunt,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::girl,girl,3.44963265047007,0.0,0.0,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::girl"", ""critical_item"": ""girl"", ""role"": ""list_word"", ""position"": ""T13""}]"
author,Author; author,2,2,list_word,False,True,"Brainerd, Chang, & Bialer (2020); Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Brainerd2020_120_4word_lists; Roediger2001_55_15word_lists,,brainerd2020_120::fast; roediger2001_55::swift,fast; swift,2.0,0.0,0.0,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::fast"", ""critical_item"": ""Fast"", ""role"": ""list_word"", ""position"": ""T4""}, {""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::swift"", ""critical_item"": ""swift"", ""role"": ""list_word"", ""position"": ""T15""}]"
authority,Authority,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::drug,drug,2.05,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::drug"", ""critical_item"": ""Drug"", ""role"": ""list_word"", ""position"": ""T2""}]"
automobile,automobile,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::car,car,2.46538285144842,0.709,0.133,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::car"", ""critical_item"": ""car"", ""role"": ""list_word"", ""position"": ""T4""}]"
average,Average,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::middle,middle,1.79,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::middle"", ""critical_item"": ""Middle"", ""role"": ""list_word"", ""position"": ""T1""}]"
awake,awake,1,1,list_word,False,True,"Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Roediger2001_55_15word_lists,,roediger2001_55::sleep,sleep,3.13449585583467,0.618,0.143,"[{""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::sleep"", ""critical_item"": ""sleep"", ""role"": ""list_word"", ""position"": ""T3""}]"
bad,Bad; bad,3,2,list_word,False,True,"Brainerd, Chang, & Bialer (2020); Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Brainerd2020_120_4word_lists; Roediger2001_55_15word_lists,,brainerd2020_120::black; roediger2001_55::thief; roediger2001_55::trouble,black; thief; trouble,3.7194152662752806,0.0,0.0675,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::black"", ""critical_item"": ""Black"", ""role"": ""list_word"", ""position"": ""T4""}, {""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::thief"", ""critical_item"": ""thief"", ""role"": ""list_word"", ""position"": ""T7""}, {""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::trouble"", ""critical_item"": ""trouble"", ""role"": ""list_word"", ""position"": ""T1""}]"
badge,Badge,1,1,list_word,False,True,"Brainerd, Chang, & Bialer (2020)",Brainerd2020_120_4word_lists,,brainerd2020_120::large,large,0.67,,,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::large"", ""critical_item"": ""Large"", ""role"": ""list_word"", ""position"": ""T2""}]"
bag,Bag; bag,3,2,critical_distractor; list_word,True,True,"Brainerd, Chang, & Bialer (2020); Roediger et al. (2001) 55-list DRM pool, augmented with uploaded 2024 supplementary workbook metrics",Brainerd2020_120_4word_lists; Roediger2001_55_15word_lists,brainerd2020_120::bag,roediger2001_55::carpet; roediger2001_55::trash,carpet; trash,3.0206464789772665,0.0,0.0235,"[{""dataset"": ""Brainerd2020_120_4word_lists"", ""list_id"": ""brainerd2020_120::bag"", ""critical_item"": ""Bag"", ""role"": ""critical_distractor"", ""position"": ""CD""}, {""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::carpet"", ""critical_item"": ""carpet"", ""role"": ""list_word"", ""position"": ""T8""}, {""dataset"": ""Roediger2001_55_15word_lists"", ""list_id"": ""roediger2001_55::trash"", ""critical_item"": ""trash"", ""role"": ""list_word"", ""position"": ""T6""}]"
