candidate_index,candidate_id,canonical_feature_text,member_phrases,fixed_v3_1_b_cluster_id,fixed_v3_1_b_order,normalization_version,merge_review_status,fixed_v3_1_b_inventory_hash,source_words,source_prompt_families,source_models,source_rounds,source_ids,n_independent_responses,n_source_words,n_source_models,candidate_inventory_hash
10,v4_3a563810554e0ee1,white feathers,"[""white feathers""]",B_1031f1542b4f,10,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""dove"", ""seagull"", ""stork"", ""swan""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",256,4,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
11,v4_c55f29b31832154f,used for fishing,"[""can be used for fishing"", ""fish"", ""fishing"", ""is a fish"", ""used for fishing""]",B_1207df5c53e0,11,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""boat"", ""carp"", ""cod"", ""eel"", ""pike"", ""shark"", ""spear"", ""trout"", ""worm""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",171,9,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
12,v4_dc02fbe3f98c385a,small,"[""is often small"", ""is small"", ""often small"", ""small""]",B_1551090d9972,12,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""ant"", ""bee"", ""beetle"", ""butterfly"", ""chameleon"", ""fox"", ""fruit fly"", ""gecko"", ""goldfish"", ""grenade"", ""hamster"", ""hedgehog"", ""lizard"", ""mouse"", ""salamander"", ""squirrel"", ""swallow"", ""wood louse""]","[""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",114,18,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
13,v4_df7036d28606dcbd,has wheels,"[""has a wheel"", ""has wheels"", ""wheels""]",B_1570ec28557d,13,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bus"", ""car"", ""carriage"", ""cart"", ""go-cart"", ""hamster"", ""lawn mower"", ""skateboard"", ""trailer"", ""truck"", ""wheelbarrow""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",575,11,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
14,v4_1d1d05c7503d34a8,portable,"[""can be portable"", ""is portable"", ""often portable"", ""portable""]",B_16b65c664060,14,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""accordion"", ""banjo"", ""bass guitar"", ""bazooka"", ""can opener"", ""dagger"", ""drum"", ""file"", ""flute"", ""guitar"", ""harp"", ""kick scooter"", ""knife"", ""mixer"", ""pan flute"", ""recorder"", ""rifle"", ""saxophone"", ""scales"", ""scooter"", ""screwdriver"", ""shovel"", ""sieve"", ""skateboard"", ""slingshot"", ""synthesizer"", ""tambourine"", ""trailer"", ""trombone"", ""trumpet"", ""vacuum cleaner"", ""violin"", ""wheelbarrow""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""less_obvious_general"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",202,33,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
15,v4_7c375a676a05750b,powerful jaws,"[""has powerful jaws"", ""powerful jaws""]",B_17167d445ef6,15,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""alligator"", ""caiman"", ""crocodile"", ""hippopotamus"", ""lion"", ""monitor lizard"", ""piranha"", ""wolf""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",184,8,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
16,v4_1855838920b28aa7,comes in many colors,"[""come in many colors"", ""comes in many colors""]",B_17fad5883065,16,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""beanie"", ""beetle"", ""blouse"", ""cap"", ""cat"", ""coat"", ""dress"", ""duck"", ""hat"", ""motorbike"", ""mouse"", ""panties"", ""scarf"", ""shirt"", ""shorts"", ""skirt"", ""snake"", ""sweater"", ""t-shirt""]","[""A"", ""B"", ""C""]","[""Qwen2.5-72B-Instruct""]","[""0""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0""]",233,19,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
17,v4_68e83494c3c14ad8,small size,"[""small size""]",B_1ca79afd244f,17,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""ant"", ""bee"", ""beetle"", ""blindworm"", ""canary"", ""dagger"", ""earwig"", ""fly"", ""fox"", ""fruit fly"", ""goldfish"", ""grasshopper"", ""hedgehog"", ""ladybug"", ""lizard"", ""louse"", ""maybug"", ""mosquito"", ""mouse"", ""piranha"", ""robin"", ""salamander"", ""scooter"", ""squirrel"", ""swallow"", ""teaspoon"", ""top""]","[""A"", ""B"", ""C"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",267,27,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
18,v4_f4b3f42edc46d7c2,knitted,"[""can be knitted"", ""knitted""]",B_1d380a2c8700,18,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""beanie"", ""hat"", ""mittens"", ""scarf"", ""socks"", ""sweater""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",69,6,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
19,v4_8fdc37864792fb3b,lays eggs,"[""egg laying"", ""lay eggs"", ""lays eggs""]",B_208ac244eb15,19,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""alligator"", ""bee"", ""beetle"", ""blackbird"", ""blindworm"", ""boa"", ""bumblebee"", ""butterfly"", ""caiman"", ""canary"", ""caterpillar"", ""centipede"", ""chameleon"", ""chicken"", ""cobra"", ""cockroach"", ""cricket"", ""crocodile"", ""crow"", ""dove"", ""duck"", ""eagle"", ""eel"", ""falcon"", ""fly"", ""frog"", ""fruit fly"", ""gecko"", ""goldfish"", ""grasshopper"", ""horsefly"", ""iguana"", ""ladybug"", ""lizard"", ""louse"", ""monitor lizard"", ""moth"", ""owl"", ""parakeet"", ""parrot"", ""pelican"", ""penguin"", ""pheasant"", ""python"", ""rabbit"", ""robin"", ""salamander"", ""salmon"", ""seagull"", ""snake"", ""sparrow"", ""spider"", ""stickleback"", ""swallow"", ""swan"", ""toad"", ""tortoise"", ""trout"", ""turtle"", ""viper"", ""vulture"", ""wasp"", ""worm""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",2755,63,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
20,v4_ac5b07d40e20b915,swims well,"[""can swim well"", ""swims well""]",B_2180eaad1f88,20,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""alligator"", ""beaver"", ""boa"", ""crocodile"", ""duck"", ""iguana"", ""monitor lizard"", ""pelican"", ""penguin"", ""polar bear"", ""seagull"", ""tiger""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",389,12,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
21,v4_9027b94e5f81a39a,has keys,"[""has keys""]",B_229e0e42fef6,21,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""accordion"", ""flute"", ""piano"", ""saxophone""]","[""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",84,4,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
22,v4_3b86ec8f18a0a8ac,swims in water,"[""swims in water""]",B_22beb8b6a024,22,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""alligator"", ""caiman"", ""dolphin"", ""duck"", ""eel"", ""goldfish""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",95,6,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
23,v4_057d72f87863804c,gray,"[""gray"", ""is gray"", ""is often gray""]",B_24b834d689b1,23,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""donkey"", ""elephant"", ""hippopotamus"", ""mouse"", ""rhinoceros"", ""wolf"", ""wood louse""]","[""B"", ""C""]","[""Qwen2.5-72B-Instruct""]","[""0""]","[""v3_1_qwen2_5_72b_round0""]",53,7,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
24,v4_4bc40f0c4c14cfc7,used for farming,"[""can be farmed"", ""often farmed"", ""used for farming""]",B_25420d85f842,24,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""cod"", ""cow"", ""flatfish"", ""herring"", ""plaice"", ""plough"", ""salmon"", ""tractor"", ""trout""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",105,9,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
25,v4_01553ea42acc4da9,often found in toolboxes,"[""can be found in toolboxes"", ""commonly found in toolboxes"", ""found in toolboxes"", ""is found in toolboxes"", ""often found in toolboxes""]",B_25b778dbe72e,25,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""adjustable spanner"", ""chisel"", ""clamp"", ""crowbar"", ""drill"", ""hammer"", ""level"", ""nail"", ""saw"", ""screwdriver"", ""wire brush"", ""wrench""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""less_obvious_general""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",370,12,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
26,v4_12a101f737e695f9,often has a handle,"[""often has a handle"", ""usually has a handle""]",B_267efdab985b,26,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""adjustable spanner"", ""bowl"", ""can opener"", ""cart"", ""chisel"", ""clamp"", ""club"", ""colander"", ""dagger"", ""electric kettle"", ""file"", ""fork"", ""grater"", ""kettle"", ""knife"", ""lawn mower"", ""mug"", ""nutcracker"", ""oilcan"", ""paint brush"", ""pan"", ""percolator"", ""pot"", ""saw"", ""sieve"", ""spoon"", ""whip"", ""whisk"", ""wire brush"", ""wrench""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",389,30,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
27,v4_e75013c19f4af13b,found in forests,"[""can be found in forests"", ""found in forests"", ""is found in forests"", ""often found in forests""]",B_2a2cad0c8691,27,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""chickadee"", ""deer"", ""fox"", ""monkey"", ""salamander"", ""squirrel"", ""stick"", ""wolf"", ""woodpecker""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",135,9,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
28,v4_b724a91518a0b9cb,can be handheld,"[""can be handheld"", ""handheld""]",B_2aaa044555bb,28,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""axe"", ""can opener"", ""chisel"", ""drill"", ""file"", ""grater"", ""grenade"", ""pistol"", ""saw"", ""sieve"", ""slingshot"", ""tambourine"", ""whisk"", ""wire brush""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""functional_affordance"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",119,14,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
29,v4_71b1e1853e0bb756,lives in water,"[""live in water"", ""lives in water""]",B_2c1237ab0ac7,29,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""alligator"", ""beaver"", ""caiman"", ""crocodile"", ""dolphin"", ""eel"", ""goldfish"", ""hippopotamus"", ""leech"", ""ray"", ""shark"", ""swan"", ""whale""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",313,13,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
30,v4_37a06534b9fa0563,long lifespan,"[""has a long lifespan"", ""long lifespan""]",B_2d4960b1e5f9,30,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""alligator"", ""crocodile"", ""crow"", ""donkey"", ""eagle"", ""elephant"", ""orca"", ""parrot"", ""pelican"", ""sperm whale"", ""tortoise"", ""turtle"", ""whale""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",267,13,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
31,v4_2be50817276ac5cb,carnivorous diet,"[""carnivorous diet""]",B_2d4f4ed46d21,31,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""alligator"", ""caiman"", ""cobra"", ""crocodile"", ""eagle"", ""eel"", ""falcon"", ""fox"", ""lion"", ""lizard"", ""monitor lizard"", ""orca"", ""peacock"", ""pike"", ""piranha"", ""polar bear"", ""salamander"", ""swan"", ""swordfish"", ""tiger"", ""wolf""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",460,21,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
