candidate_id,canonical_feature_text,human_feature,human_feature_retained,mapping_method
v4_d9e4942a16550537,a bat can be used as a lever to pry open objects or doors,,False,
v4_cf8301eca8a063d1,a bat can be used as a weapon for self-defense,,False,
v4_7a1d837482847414,a bat can be used as a weapon in combat sports,,False,
v4_7b6b86f55f0b65d3,a bat can be used to balance while performing stunts,,False,
v4_21c4086f21ed5d81,a bat can be used to break objects like windows or locks,,False,
v4_8c97164fc5bb89f5,a bat can be used to break objects or barriers,,False,
v4_7bfad3fda996207c,a bat can be used to gesture or direct attention during coaching,,False,
v4_7bf125e9d05516d2,a bat can be used to gesture or signal during a game,,False,
v4_14d03bee1b007d34,a bat can be used to hit a ball in sports like baseball,,False,
v4_8cdf9d9e9b484beb,a bat can be used to measure distances in informal settings,,False,
v4_f47078615ac73e50,a bat can be used to measure distances informally,,False,
v4_cb87e4ff94187ce5,a bat can be used to measure performance in batting sports,,False,
v4_3b05ad4dabbd68c8,a bat can be used to point at objects or direct attention,,False,
v4_118211190f43492c,a bat can be used to point at objects or directions,,False,
v4_5a91880237d370cd,a bat can be used to point at things during instruction,,False,
v4_534d4752b2f4a0fb,a bat can be used to poke or prod objects,,False,
v4_53472f965732bf1d,a bat can be used to poke or prod objects from a distance,,False,
v4_a370bfa2a4a87c03,a bat can be used to prop open a door or window,,False,
v4_e18f7eeee8cb533a,a bat can be used to signal or direct attention in a crowd,,False,
v4_5e7803dc1dcfc661,a bat can be used to signal teammates in a game,,False,
v4_b26d83e7688bd041,a bat can be used to stir or mix substances in a container,,False,
v4_25b8201bb2921465,a bat can be used to support structures as a temporary prop,,False,
v4_e6dfff6a56f4c0d3,a bat can be used to tap or signal in games,,False,
v4_07834a8623f6411f,a bat can be used to tap or signal others,,False,
v4_391b558871a0a958,a bat can be used to tap or signal others in a non-verbal way,,False,
v4_9d4acf6c2fcd410f,a bat can be used to tap or signal rhythm in music,,False,
v4_d4738c802d8c461c,a bat can be used to tap or test surfaces for stability,,False,
v4_a487b117fb95ace5,a bat can be used to tap or敲击物体以产生声音。,,False,
v4_9f57e7bb1d5d4d06,a bat can break or crack under impact,,False,
v4_d8094cae4f99e275,a bat can produce a loud cracking sound when striking an object,,False,
v4_f08399e67a4657dc,a bat can produce a loud sound when striking an object,,False,
v4_82226f1f46994640,a bat can serve as a support for balance when needed,,False,
v4_f6db29190dd4e553,a bat is used to hit a ball in baseball,,False,
v4_383e285765627c77,a bat is used to hit a ball in sports like baseball and cricket,,False,
v4_84e0c764971ad45b,a bathing suit is a garment worn for swimming or sunbathing,,False,
v4_d87d2f25f1e18fab,a bathing suit is a type of clothing designed for beach or pool activities,,False,
v4_b8b363f14f23ec75,a bathing suit is designed to be worn in water,,False,
v4_2b446c170103ced5,a bathing suit is intended for use in public spaces such as beaches or pools,,False,
v4_f9af7dc1ff220cf3,a bathing suit is intended to provide modesty while swimming,,False,
v4_11a51516c477c0f0,a bathing suit is made from water-resistant fabric,,False,
v4_98184d5a067b0e75,a bathing suit is often associated with summer and vacation attire,,False,
v4_561459d9d77a438a,a bathing suit is part of beachwear,,False,
v4_53f6c6eb3c48c969,"a bathing suit is typically worn at beaches, pools, or spas",,False,
v4_20680a9366faf062,a bathing suit may include features like padding or shaping for support,,False,
v4_8be85258f0d75913,a bathing suit provides coverage and support for the body during water activities,,False,
v4_27190fc23a546f00,a battle axe is a subtype designed for combat,,False,
v4_e31b4b81aba6391d,a battle axe is a subtype of axe designed for combat,,False,
v4_08e7a1019be01608,a bazooka can be aimed using sights or scopes,,False,
v4_a199ef20a269c5ae,a bazooka can be carried by one person,,False,
v4_cf19d62941a6e47b,a bazooka can be disassembled for transport,,False,
v4_b3bc8d23c4c4197f,a bazooka can be equipped with different types of warheads,,False,
v4_aeb7fcdc802f995f,a bazooka can be modified with attachments like bipods or grips,,False,
v4_e77bdbac12e64822,a bazooka can be mounted on a tripod,,False,
v4_846dbb3c318cec51,a bazooka can be operated by one or two soldiers,,False,
v4_67e311acba661d5d,a bazooka can be reloadable or disposable,,False,
v4_125ce7252ec82a1f,a bazooka can be reloaded after firing,,False,
v4_9b65d187f7519a8f,a bazooka can be used for demolition,,False,
v4_ea1f3c5df35c17ec,a bazooka can be used for indirect fire support,,False,
v4_61d90f23cbfe8184,a bazooka can be used to breach walls and fortifications,,False,
v4_730a63f6050b7456,a bazooka can penetrate armor,,False,
v4_ae66fbaf04354c26,a bazooka can penetrate thick concrete barriers,,False,
v4_f271a8802380fb3f,a bazooka fires unguided rockets,,False,
v4_adad0d0d7a60cf97,a bazooka has a cylindrical tube as its main component,,False,
v4_c0cdf43aa22dfc97,a bazooka has a launch tube,,False,
v4_f54f81a8d15b4e9b,a bazooka has a tube through which rockets are fired,,False,
v4_f4180b73fb7a2221,a bazooka has a tubular launch tube,,False,
v4_420f80f0f9c7d118,a bazooka has a tubular shape,,False,
v4_bc8bb205aa7ba5e0,a bazooka is a disposable weapon in some models,,False,
v4_3c8450a87f63cff5,a bazooka is a form of indirect fire weapon,,False,
v4_f674bbd0d7c05409,a bazooka is a high-explosive weapon,,False,
v4_3696a1a7be76b172,a bazooka is a lightweight and portable device,,False,
v4_5362d03c0974c360,a bazooka is a portable anti-tank weapon,,False,
v4_0b929b06f812c21e,a bazooka is a portable antitank weapon,,False,
v4_542b2b72272a344b,"a bazooka is a portable, shoulder-fired antitank weapon",,False,
v4_e2b0dd2990dfeab9,a bazooka is a recoilless weapon,,False,
v4_137c559aecb33ed1,a bazooka is a shoulder-fired missile system,,False,
v4_e03132a5ef4839a1,a bazooka is a shoulder-fired weapon,,False,
v4_232d0ac778c61e6a,a bazooka is a single-shot weapon,,False,
v4_fb1c828a2efeb75b,a bazooka is a type of rocket launcher,,False,
v4_f560e44b6fdbc089,a bazooka is an explosive weapon,,False,
v4_807ee4a1b858410d,a bazooka is an unguided projectile weapon,,False,
v4_21f140372c9f255b,a bazooka is an unguided weapon,,False,
v4_82794da53f8f82c3,a bazooka is classified as a light weapon,,False,
v4_14b888ddbf209327,a bazooka is designed for infantry use,,False,
v4_a7ef9eebb3935702,a bazooka is designed for use by infantry,,False,
v4_1f21698d6c306e0d,a bazooka is used to destroy enemy vehicles,,False,
v4_cf46e29a8fa5ff2d,a bazooka launches rockets,,False,
v4_7188e3ee6a96bf4a,a bazooka launches rockets using a low explosive charge,,False,
v4_1a8f3053f53ec812,a bazooka operates on the principle of launching a rocket-propelled projectile,,False,
v4_de480e5a7023647d,a bazooka produces a loud noise and smoke when fired,,False,
v4_82f1e2adb81b16b5,a bazooka produces a loud noise when fired,,False,
v4_7dc5274b08b37a25,a bazooka requires a power source or ignition mechanism to fire,,False,
v4_368458b14152ae07,a bazooka requires a trained operator,,False,
v4_700750fdd2f01c33,a bazooka requires a two-person team to operate,,False,
v4_234e345075b8ad0f,a bazooka uses a heat (high-explosive anti-tank) warhead,,False,
v4_8b4bc2fd7c4aaf42,a bazooka uses a shaped charge warhead,,False,
v4_71642e0671a585e6,a bazooka was widely used in world war ii,,False,
v4_2788a2045d6296ef,a beam of energy,,False,
v4_20cb6c74ecd49cdd,a beam of light,,False,
v4_f30fea4637b58c83,a beanie can be adjusted for a snug fit,,False,
v4_9faa4f0aa51a7232,a beanie can be adjusted to fit different head sizes,,False,
v4_90ab8913721fd2a6,a beanie can be folded and put in a pocket,,False,
v4_70c34247a59df4da,a beanie can be folded and stored easily,,False,
v4_88581da8bcdd9b1c,a beanie can be folded or rolled for compact storage,,False,
v4_bf5fd55652d6cc23,a beanie can be given as a gift,,False,
v4_86074436919aa84f,a beanie can be knitted or crocheted by hand,,False,
v4_42c47e8986f42796,a beanie can be machine washed for easy cleaning,,False,
v4_01250d8b32c8a43f,a beanie can be personalized with embroidery or logos,,False,
v4_8b0d8473a97c38dd,a beanie can be personalized with logos or designs,,False,
v4_223bcaabeda58bf2,a beanie can be pulled down over the ears,,False,
v4_ef324f72eb1b5a22,a beanie can be pulled down over the ears for extra warmth,,False,
v4_91dd62c7eee9591d,a beanie can be pulled down over the face for sleep,,False,
v4_247437e4f91fb4b8,a beanie can be shared among friends,,False,
v4_0474ee8b30abf7fb,a beanie can be shared among friends or family,,False,
v4_b4b73ef3bcf1aabb,a beanie can be shared among friends or family members,,False,
v4_66c0be9ee832d2dd,a beanie can be thrown or tossed as a playful gesture,,False,
v4_ce7bd9ab2e2c25f2,a beanie can be used as a makeshift pillow,,False,
v4_451691a355e0ebe4,a beanie can be used as a prop in photos,,False,
v4_f375513befa6de13,a beanie can be used as a prop in photos or videos,,False,
v4_4678a5322eec1da8,a beanie can be used to absorb sweat during physical activity,,False,
v4_ea0ea2c8faa270c3,a beanie can be used to hide messy hair,,False,
v4_b7ab0baab834e9bd,a beanie can be used to keep the head dry in light rain,,False,
v4_b9712997124fdc39,a beanie can be used to prevent hair from getting tangled,,False,
v4_3518c2612a4d2eb3,a beanie can be used to protect the head from the sun,,False,
v4_ac5361ff65f2471e,a beanie can be used to wipe sweat from the forehead,,False,
v4_5814b023d3a95b84,a beanie can be used to wipe sweat or moisture,,False,
v4_cf9130a419e8753c,a beanie can be washed and reused,,False,
v4_167e3cc7c3c77833,a beanie can be washed and reused multiple times,,False,
v4_5934128bf32b01ca,a beanie can be worn as a fashion accessory,,False,
v4_00e621a084528493,a beanie can be worn as a fashion accessory to match an outfit,,False,
v4_f84210f81ba414a6,a beanie can be worn backwards for a different look,,False,
v4_08d15083e2d526e4,a beanie can be worn for warmth or fashion,,False,
v4_5267ffda75545fba,a beanie can be worn indoors or outdoors,,False,
v4_effadd257ca6935c,a beanie can be worn indoors to maintain body heat,,False,
v4_dec898b92559c561,a beanie can cover the ears for added warmth,,False,
v4_978404c5d54d20e6,a beanie can have a turned-up brim or cuff,,False,
v4_463c3734af02ab75,a beanie can hide messy hair,,False,
v4_17443f945e553cc9,a beanie is a subtype of cap,,False,
v4_2a63081057f41a66,a beanie is a subtype of headwear,,False,
v4_f8715fadfba8f1fb,a beanie is a type of brimless cap,,False,
v4_e2c13a1e90be36d8,"a beanie is a type of brimless cap, often made of wool or knit fabric",,False,
v4_19f403197b6ce2e8,a beanie is a type of cap with no brim,,False,
v4_80e1471b829f172d,"a beanie is a type of cap, typically knitted or crocheted",,False,
v4_2a6275d6c9bcfbd6,"a beanie is a type of cap, usually made of wool or other warm materials",,False,
v4_fb640e95ef848a6a,a beanie is commonly used in casual settings,,False,
v4_229c22d8ccbe7cf8,a beanie is commonly worn by young people,,False,
v4_06fc3bdf30128d18,a beanie is commonly worn in cold weather,,False,
v4_6971e504dfe3f083,a beanie is designed to cover the head and keep it warm,,False,
v4_dac62c6800ab423e,a beanie is often associated with casual dress,,False,
v4_0ed272f48e897261,a beanie is often associated with casual or sporty attire,,False,
v4_0989ca57a772f9e1,a beanie is often unisex,,False,
v4_40f97c10480b4d53,a beanie is typically made of knitted fabric,,False,
v4_fb28c8428449ed3a,a beanie is typically made of wool or knit fabric,,False,
v4_cc58558166eb91bc,a beanie is usually brimless,,False,
v4_66331c448e471259,a beanie is usually fitted or slightly loose,,False,
v4_0431e790d421dce4,a beanie is usually seamless or has a small seam at the back,,False,
v4_b109c3fc650d5bdd,a beanie is worn by both men and women,,False,
v4_c34fa81a1ca87711,a beanie is worn on the head,,False,
v4_d2d4c90c4b193f38,a beanie keeps the head warm,,False,
v4_22b28bb80284cb90,a beanie keeps the head warm in cold weather,,False,
v4_cb6c42a3d0b1ab1d,a beanie may feature patterns or designs,,False,
v4_d7ba0f4c7272e51f,a beanie may feature team logos or designs,,False,
v4_94d84a1ee933d2b1,a beanie may have a pom-pom on top,,False,
v4_016b711a5120941b,a beanie often has a snug fit around the head,,False,
v4_67dd05b99a2ed14b,a beanie typically has a close fit to the head,,False,
v4_cb22793da0f2ebab,"a bee can be a worker, drone, or queen",,False,
v4_cad15dc234d922a0,a bee can produce honey,,False,
v4_6ca72027ebaa2d10,a bee has a segmented body,,False,
v4_f4f7ded20dd10610,a bee has a stinger,,False,
v4_5b5b42449c6c7211,a bee has compound eyes,,False,
v4_231347ee807a6f5b,a bee has six legs,,False,
v4_6d1b458d3f4215c3,a bee has two pairs of wings,,False,
v4_8bea5df7b7a22af7,a bee is an insect,,False,
v4_76e0dcb0e3b391ab,a belt buckle allows for quick release and closure,,False,
v4_ffd8d128be6cf96e,a belt buckle can be used to display style or status,,False,
v4_fd7bd764e542f9eb,a belt buckle can be used to secure and decorate the belt,,False,
v4_5dd47c304a6c8f7a,a belt buckle can be used to secure the belt,,False,
v4_038983a82f3d219f,a belt buckle is often decorative and can be a fashion statement,,False,
v4_443db84ccf3acde7,a belt buckle is often used to fasten the belt,,False,
v4_4c14ebd431755fc6,a belt can adjust in length to fit different sizes,,False,
v4_c5de3acf76e396a4,a belt can adjust the fit of clothing,,False,
v4_8204d48ad7a5cc2c,a belt can adjust the fit of loose clothing,,False,
v4_ac103cf1508416eb,a belt can be a component of a uniform,,False,
v4_f1fa3865b76d86c0,a belt can be a safety device in vehicles,,False,
v4_1eb51df1bdc81d6b,a belt can be a safety device in vehicles to secure passengers,,False,
v4_6e4696b2634d4924,a belt can be a symbol of rank in certain organizations,,False,
v4_bc0775197af2238a,a belt can be a symbol of rank or achievement,,False,
v4_35a4bcff09b938ff,a belt can be adjustable in length,,False,
v4_155a8d8986457af2,a belt can be adjusted to fit different sizes,,False,
v4_cf257fbcffbea099,"a belt can be decorated with buckles, studs, or patterns",,False,
v4_aa16103bbbc9da9d,a belt can be decorative,,False,
v4_68de2fb9c1100118,a belt can be decorative or functional,,False,
v4_656432c2d62a0af5,a belt can be found in conveyor systems,,False,
v4_4f9ec3d758425752,a belt can be made of leather or fabric,,False,
v4_733f1cb2f1b511dd,"a belt can be made of leather, fabric, or metal",,False,
v4_c4ae4f228d453bc3,"a belt can be made of leather, fabric, or other materials",,False,
v4_44be49e339e443d9,a belt can be part of a uniform or costume,,False,
v4_3854b3308539593d,a belt can be removed and reattached,,False,
v4_37db1559413fe09d,a belt can be removed and reattached easily,,False,
v4_c9f059a4e2aedfc0,a belt can be removed and stored separately from clothing,,False,
v4_351c6e03fcd9cd65,a belt can be removed and used as a tool or weapon in emergencies,,False,
v4_fd37bac24284d19e,a belt can be removed and used to carry objects,,False,
v4_d3561e28c1e71119,a belt can be removed from clothing,,False,
v4_c09d0f6956c1ec9a,a belt can be removed to allow clothing to hang freely,,False,
v4_3b1fa40998602893,a belt can be tightened for a snug fit,,False,
v4_d41fcfde6a754110,a belt can be tightened or loosened,,False,
v4_aba598168607b7b8,a belt can be tightened or loosened to adjust fit,,False,
v4_b2640db232766db6,a belt can be unbuckled to release tension,,False,
v4_cfbea1830967ffdb,a belt can be used as a makeshift rope in emergencies,,False,
v4_3f163654ce4d020f,a belt can be used as a makeshift strap or tie,,False,
v4_dae1ce1712dc1722,a belt can be used as a tool for self-defense,,False,
v4_41253b3f2ab016f0,a belt can be used as a tool for tightening or securing things,,False,
v4_98ce812b5523c429,a belt can be used as a tool in various crafts,,False,
v4_00605bb3f9215de1,a belt can be used as a tool to apply pressure or tension,,False,
v4_6b04e1a9ee1152ab,a belt can be used as a weapon in self-defense situations,,False,
v4_568f2ebeb79fe370,a belt can be used in a car's seat belt system,,False,
v4_667eaf6881cf87eb,a belt can be used in a pulley system,,False,
v4_8bddd8eb395adb41,a belt can be used in an emergency to tie or secure objects,,False,
v4_36249aed69d6cd86,a belt can be used in emergency situations as a tool or weapon,,False,
v4_c02d7e11bad96313,"a belt can be used in exercise equipment, like a treadmill",,False,
v4_25e63f9d298fd3f9,a belt can be used in fashion to define a silhouette,,False,
v4_00aefcbeed9e0430,a belt can be used in machinery to transmit power,,False,
v4_d4c7b85f5c5b8e37,a belt can be used in martial arts to denote rank,,False,
v4_6da8077885568dd1,a belt can be used in martial arts uniforms,,False,
v4_86d35cbba3ae0b8a,"a belt can be used in various activities, such as martial arts or weightlifting",,False,
v4_b8be22d37e41ab7a,a belt can be used in various industrial applications,,False,
v4_403cd17a401053c0,"a belt can be used in various styles of dress, from casual to formal",,False,
v4_8ac722c5e8f96f21,a belt can be used in various styles of fashion,,False,
v4_ee6dfcd3e510e55d,a belt can be used to add structure to loose-fitting clothing,,False,
v4_7ae81956e3d78abf,a belt can be used to carry items like a phone or knife,,False,
v4_7da14c135d875d79,a belt can be used to carry tools or weapons,,False,
v4_b6366859a3a6e97e,a belt can be used to cinch a coat or dress,,False,
v4_37deb107e83ff686,a belt can be used to cinch a coat or dress for a better fit,,False,
v4_fecf8667237ae23c,a belt can be used to cinch and define the waistline,,False,
v4_57f70613d4c3dd71,a belt can be used to cinch bags or packs for better load distribution,,False,
v4_16cfb81f50182e47,a belt can be used to display badges or holsters,,False,
v4_8292e1d6369c4186,a belt can be used to hang items such as keys or tools,,False,
v4_cccdf6f3d5a8db85,a belt can be used to hang objects from,,False,
v4_f18bb844a0b36b4d,a belt can be used to mark territory or boundaries,,False,
v4_9b1bcde9cd31e97d,a belt can be used to measure length or circumference,,False,
v4_35cfa391bf01a799,a belt can be used to pull or drag objects,,False,
v4_ac439717b7fd24d3,a belt can be used to secure items to the body,,False,
v4_2dea91af2e16ed4d,a belt can be used to secure items together or carry small objects,,False,
v4_a67c099947fc06af,a belt can be used to secure luggage,,False,
v4_a81e63e818d23c0f,a belt can be used to tie things together,,False,
v4_ea7fb6e9235c9dac,a belt can be used to tighten or loosen clothing for comfort,,False,
v4_16440dfb3c65f868,a belt can be worn over coats or dresses for added style,,False,
v4_ca5d1c3ed4428fe2,a belt can be worn over or under clothing,,False,
v4_393eb99472d63f13,a belt can be worn over or under clothing layers,,False,
v4_3dd369c125fc4d21,a belt can be worn to provide support during physical activities,,False,
v4_95f543b5b9c3a362,a belt can have a metal buckle for fastening,,False,
v4_f2308dd528d1a94e,a belt can help define or accentuate the shape of clothing,,False,
v4_fc2425c38898a383,a belt can hold keys or other small items through loops or clips,,False,
v4_98ff42348179e098,a belt can provide support for pants or skirts,,False,
v4_2d5719a0491a2d71,a belt can secure items to the body during travel,,False,
v4_573683da9097871b,a belt can serve as a fashion accessory,,False,
v4_adc39b5b1103c27b,a belt can serve as a fashion statement,,False,
v4_0f1cafbbcc5ddf1a,a belt can support pants or skirts,,False,
v4_fa51ddbb8da6ce52,a belt can transmit power in machinery,,False,
v4_b8b790f936cb50fa,a belt fastens around the waist to hold pants up,,False,
v4_1b11eaf0a6b25f53,a belt holds pants up,,False,
v4_e71981e49c1c0d12,a belt is a band worn around the waist,,False,
v4_81d31cc594c03b26,a belt is a component in some mechanical systems,,False,
v4_07d875fb04f70049,a belt is a component of clothing,,False,
v4_184e1c2eaef3ef24,a belt is a component of personal attire,,False,
v4_6c0a6b4171d04b45,a belt is a component of personal grooming,,False,
v4_b67ed7d81c5c7118,a belt is a flexible band worn around the waist,,False,
v4_9ec422bb70b3b074,a belt is a flexible band worn around the waist to hold clothing in place,,False,
v4_22c762679062001c,a belt is a type of accessory,,False,
v4_6e454d25540f1dc8,a belt is a type of accessory used to secure clothing,,False,
v4_12db7d39a57179ad,a belt is a type of clothing accessory,,False,
v4_1358ddec0684b1be,a belt is commonly found in closets or drawers,,False,
v4_ab1fa99facb1827d,a belt is commonly found in clothing stores,,False,
v4_d97eceaf1946d8a2,a belt is commonly found in men's and women's wardrobes,,False,
v4_4e2916233094fe28,a belt is commonly stored on a hook or in a drawer,,False,
v4_b93a4ab7b69f08bf,a belt is often paired with dress shoes,,False,
v4_2af59174e70ad880,a belt is often paired with dress shoes in formal attire,,False,
v4_8a73845c677f086c,"a belt is often seen in formal attire, such as suits",,False,
v4_21ceeb2ab794cad2,a belt is sometimes given as a gift,,False,
v4_c8766b7531cf55d6,a belt is sometimes used in automotive engines,,False,
v4_f2eb7fd43e90b735,a belt is typically long and narrow,,False,
v4_1588406141c5f3e0,a belt is used in various cultural and functional contexts,,False,
v4_22e13d8f85021151,a belt is used in weightlifting to support the back,,False,
v4_b2949f9f0f783237,a belt is used to hold up pants or skirts,,False,
v4_867cbae734fe2c06,a belt is worn around the waist,,False,
v4_39b5f9ebcc99b76b,a belt may be used as a tool in martial arts training,,False,
v4_77bee7d64e05d31c,a belt often has a buckle for fastening,,False,
v4_6754952a57e94a7d,a bib apron covers the chest and upper body,,False,
v4_a8e292510a48d99e,a bicycle allows for faster travel compared to walking,,False,
v4_28c89b48adf19786,"a bicycle can be categorized as a road bike, mountain bike, or hybrid",,False,
v4_11d61ab2ccbaa56d,a bicycle can be customized with accessories and modifications,,False,
v4_910bdd158c1a558b,a bicycle can be maintained with basic tools,,False,
v4_fec1da8cf7eaf025,a bicycle can be modified for specialized use,,False,
v4_c095c333000c6c9c,a bicycle can be motorized to become an e-bike,,False,
v4_ac71f807fa43dfc4,a bicycle can be repaired and maintained with basic tools,,False,
v4_af2b8c9b598534b6,a bicycle can be used for transportation or recreation,,False,
v4_15623a983a9d91ba,a bicycle can carry small loads or passengers with attachments,,False,
v4_0402b9308ee98f61,a bicycle frame supports the rider and components,,False,
v4_89d22a497e2c3ea7,a bicycle has two wheels,,False,
v4_375c14a0e0023fe2,a bicycle has two wheels arranged in tandem,,False,
v4_cd5e4974a3b234f9,a bicycle includes components like brakes and gears,,False,
v4_5d5e3ecba0085831,a bicycle is a form of non-motorized transport,,False,
