prompt_variant,word_normalized,feature_text_normalized,feature_text_example,response_frequency,valid_response_count,response_proportion
A,(hot air) balloon,historically significant in early aviation experiments,historically significant in early aviation experiments,1,20,0.05
A,(hot air) balloon,inflated and deflated for use,inflated and deflated for use,1,20,0.05
A,(hot air) balloon,inflated and deflated on the ground,inflated and deflated on the ground,1,20,0.05
A,(hot air) balloon,inflated and deflated on the ground before and after flight,inflated and deflated on the ground before and after flight,1,20,0.05
A,(hot air) balloon,is steered by changing altitude,is steered by changing altitude,1,20,0.05
A,(hot air) balloon,large fabric envelope filled with heated air,Large fabric envelope filled with heated air,4,20,0.2
A,(hot air) balloon,lifted by heated air,Lifted by heated air,7,20,0.35
A,(hot air) balloon,made of fabric and a basket,made of fabric and a basket,1,20,0.05
A,(hot air) balloon,made of fabric and often colorful,Made of fabric and often colorful,1,20,0.05
A,(hot air) balloon,made of fabric envelope,Made of fabric envelope,5,20,0.25
A,(hot air) balloon,made of lightweight fabric,made of lightweight fabric,6,20,0.3
A,(hot air) balloon,moves with the wind,Moves with the wind,1,20,0.05
A,(hot air) balloon,moves with the wind currents,moves with the wind currents,1,20,0.05
A,(hot air) balloon,navigated by changing altitude,navigated by changing altitude,2,20,0.1
A,(hot air) balloon,often brightly colored,Often brightly colored,1,20,0.05
A,(hot air) balloon,often colorful and decorative,often colorful and decorative,1,20,0.05
A,(hot air) balloon,often decorated with vibrant colors and patterns,often decorated with vibrant colors and patterns,1,20,0.05
A,(hot air) balloon,often seen at festivals,often seen at festivals,1,20,0.05
A,(hot air) balloon,often seen at festivals and events,often seen at festivals and events,3,20,0.15
A,(hot air) balloon,often used for leisure activities,Often used for leisure activities,4,20,0.2
A,(hot air) balloon,often used for recreational flights,often used for recreational flights,4,20,0.2
A,(hot air) balloon,often used for recreational flights and tourism,often used for recreational flights and tourism,1,20,0.05
A,(hot air) balloon,often used in festivals and competitions,Often used in festivals and competitions,1,20,0.05
A,(hot air) balloon,often used in festivals and events,often used in festivals and events,3,20,0.15
A,(hot air) balloon,operates in clear weather conditions,operates in clear weather conditions,1,20,0.05
A,(hot air) balloon,participates in festivals and events,participates in festivals and events,1,20,0.05
A,(hot air) balloon,piloted by a person,piloted by a person,5,20,0.25
A,(hot air) balloon,piloted by a trained operator,piloted by a trained operator,3,20,0.15
A,(hot air) balloon,popular in festivals and events,popular in festivals and events,1,20,0.05
A,(hot air) balloon,requires a basket for passengers,Requires a basket for passengers,2,20,0.1
A,(hot air) balloon,requires a basket to carry passengers,requires a basket to carry passengers,1,20,0.05
A,(hot air) balloon,requires a burner for heat,requires a burner for heat,1,20,0.05
A,(hot air) balloon,requires a burner to heat the air,requires a burner to heat the air,6,20,0.3
A,(hot air) balloon,requires a chase crew for landing and setup,Requires a chase crew for landing and setup,1,20,0.05
A,(hot air) balloon,requires a pilot and crew to operate,requires a pilot and crew to operate,1,20,0.05
A,(hot air) balloon,requires a pilot to operate,Requires a pilot to operate,1,20,0.05
A,(hot air) balloon,requires a skilled pilot to operate,Requires a skilled pilot to operate,2,20,0.1
A,(hot air) balloon,requires favorable weather conditions,Requires favorable weather conditions,1,20,0.05
A,(hot air) balloon,requires skilled piloting,requires skilled piloting,1,20,0.05
A,(hot air) balloon,requires skilled piloting to navigate and land safely,requires skilled piloting to navigate and land safely,1,20,0.05
A,(hot air) balloon,rises and descends by controlling the temperature of the air,rises and descends by controlling the temperature of the air,1,20,0.05
A,(hot air) balloon,rises and floats in the sky,Rises and floats in the sky,2,20,0.1
A,(hot air) balloon,rises due to buoyancy,rises due to buoyancy,1,20,0.05
A,(hot air) balloon,rises due to heated air,Rises due to heated air,1,20,0.05
A,(hot air) balloon,typically made of fabric,typically made of fabric,2,20,0.1
A,(hot air) balloon,typically made of fabric and nylon,typically made of fabric and nylon,1,20,0.05
A,(hot air) balloon,typically made of nylon or similar lightweight material,typically made of nylon or similar lightweight material,1,20,0.05
A,(hot air) balloon,typically round or oval in shape,Typically round or oval in shape,2,20,0.1
A,(hot air) balloon,typically round or oval shape,Typically round or oval shape,1,20,0.05
A,(hot air) balloon,typically round or teardrop shape,typically round or teardrop shape,1,20,0.05
A,(hot air) balloon,typically round or teardrop-shaped,typically round or teardrop-shaped,4,20,0.2
A,(hot air) balloon,typically spherical or teardrop-shaped,typically spherical or teardrop-shaped,3,20,0.15
A,(hot air) balloon,used for leisure and sightseeing,Used for leisure and sightseeing,1,20,0.05
A,(hot air) balloon,used for leisure and tourism,used for leisure and tourism,2,20,0.1
A,(hot air) balloon,used for recreation and tourism,Used for recreation and tourism,1,20,0.05
A,(hot air) balloon,used for recreational flights,used for recreational flights,6,20,0.3
A,(hot air) balloon,used for recreational flights and tourism,used for recreational flights and tourism,1,20,0.05
A,(hot air) balloon,used in festivals and competitions,Used in festivals and competitions,6,20,0.3
A,(hot air) balloon,used in various festivals and competitions,used in various festivals and competitions,1,20,0.05
A,(hot air) balloon,uses a basket for passengers,Uses a basket for passengers,1,20,0.05
A,(hot air) balloon,uses a burner to heat air,Uses a burner to heat air,4,20,0.2
A,(hot air) balloon,uses a burner to heat the air,Uses a burner to heat the air,1,20,0.05
A,(hot air) balloon,uses a burner to heat the air inside the envelope,uses a burner to heat the air inside the envelope,1,20,0.05
A,(hot air) balloon,uses heated air for lift,uses heated air for lift,1,20,0.05
A,(hot air) balloon,uses heated air to rise,uses heated air to rise,5,20,0.25
A,(hot air) balloon,uses natural wind currents to navigate,uses natural wind currents to navigate,1,20,0.05
A,(hot air) balloon,usually brightly colored,usually brightly colored,1,20,0.05
A,(hot air) balloon,usually has a basket for passengers,usually has a basket for passengers,1,20,0.05
A,(hot air) balloon,visible from far away,Visible from far away,1,20,0.05
A,(hot air) balloon,visible from far away due to bright colors,visible from far away due to bright colors,1,20,0.05
A,(hot air) balloon,visible from far distances due to size and color,visible from far distances due to size and color,1,20,0.05
A,(hot air) balloon,visible from long distances,visible from long distances,2,20,0.1
A,(hot air) balloon,visible from long distances due to bright colors,Visible from long distances due to bright colors,1,20,0.05
A,(hot air) balloon,visible from long distances due to size and color,Visible from long distances due to size and color,1,20,0.05
A,accordion,associated with polka and klezmer music,associated with polka and klezmer music,1,20,0.05
A,accordion,available in various sizes,Available in various sizes,1,20,0.05
A,accordion,available in various sizes and types,Available in various sizes and types,1,20,0.05
A,accordion,bellows-driven free reed aerophone,bellows-driven free reed aerophone,2,20,0.1
A,accordion,can be accordion-shaped or concertina-shaped,can be accordion-shaped or concertina-shaped,1,20,0.05
A,accordion,can be expensive to purchase and maintain,can be expensive to purchase and maintain,1,20,0.05
A,accordion,can be folded for storage,can be folded for storage,1,20,0.05
A,accordion,can be large or small,Can be large or small,1,20,0.05
A,accordion,can be played solo or in ensembles,Can be played solo or in ensembles,13,20,0.65
A,accordion,can be played while standing or sitting,can be played while standing or sitting,1,20,0.05
A,accordion,can be solo or ensemble instrument,can be solo or ensemble instrument,1,20,0.05
A,accordion,can be tuned,can be tuned,1,20,0.05
A,accordion,can be tuned to different musical scales,can be tuned to different musical scales,1,20,0.05
A,accordion,can be tuned to different pitches,Can be tuned to different pitches,2,20,0.1
A,accordion,can have a piano-like keyboard,can have a piano-like keyboard,1,20,0.05
A,accordion,can have buttons or piano-like keys,Can have buttons or piano-like keys,2,20,0.1
A,accordion,can have multiple rows of buttons for different scales,can have multiple rows of buttons for different scales,1,20,0.05
A,accordion,can have piano keys,can have piano keys,1,20,0.05
A,accordion,can produce a wide range of notes,can produce a wide range of notes,1,20,0.05
A,accordion,can produce a wide range of pitches,can produce a wide range of pitches,1,20,0.05
A,accordion,can produce a wide range of tones,Can produce a wide range of tones,2,20,0.1
A,accordion,comes in various sizes,comes in various sizes,7,20,0.35
A,accordion,comes in various sizes and types,comes in various sizes and types,4,20,0.2
A,accordion,common in european and american traditions,common in European and American traditions,1,20,0.05
A,accordion,common in folk and traditional music,Common in folk and traditional music,3,20,0.15
A,accordion,common in folk music,Common in folk music,2,20,0.1
A,accordion,compact and easily transportable,Compact and easily transportable,1,20,0.05
A,accordion,features both right and left hand keyboards,Features both right and left hand keyboards,1,20,0.05
A,accordion,features buttons or keys on both sides,Features buttons or keys on both sides,1,20,0.05
A,accordion,frequently seen in street performances,Frequently seen in street performances,1,20,0.05
A,accordion,has a distinctive accordion sound,has a distinctive accordion sound,1,20,0.05
A,accordion,has a distinctive bell-like tone,has a distinctive bell-like tone,1,20,0.05
A,accordion,has a distinctive sound,has a distinctive sound,4,20,0.2
A,accordion,has a distinctive sound characterized by its reeds,Has a distinctive sound characterized by its reeds,1,20,0.05
A,accordion,has a distinctive squeeze box sound,has a distinctive squeeze box sound,1,20,0.05
A,accordion,has a distinctive squeeze-box shape,has a distinctive squeeze-box shape,1,20,0.05
A,accordion,has a range of pitches and volumes,has a range of pitches and volumes,1,20,0.05
A,accordion,has a reed-based sound mechanism,Has a reed-based sound mechanism,2,20,0.1
A,accordion,has a reed-based sound production,has a reed-based sound production,1,20,0.05
A,accordion,has bellows and buttons,has bellows and buttons,2,20,0.1
A,accordion,has bellows and buttons or keys,Has bellows and buttons or keys,4,20,0.2
A,accordion,has bellows and keys,Has bellows and keys,7,20,0.35
A,accordion,has buttons or keys,has buttons or keys,3,20,0.15
A,accordion,has buttons or keys for playing notes,has buttons or keys for playing notes,1,20,0.05
A,accordion,has keys and buttons for playing notes,has keys and buttons for playing notes,1,20,0.05
A,accordion,has keys and buttons on both sides,has keys and buttons on both sides,1,20,0.05
A,accordion,has keys or buttons on both sides,has keys or buttons on both sides,1,20,0.05
A,accordion,has reeds that vibrate to create sound,has reeds that vibrate to create sound,1,20,0.05
A,accordion,has reeds that vibrate to produce sound,has reeds that vibrate to produce sound,2,20,0.1
A,accordion,musical instrument,musical instrument,2,20,0.1
A,accordion,often associated with european and american traditions,often associated with European and American traditions,1,20,0.05
A,accordion,often associated with european and latin american cultures,often associated with European and Latin American cultures,1,20,0.05
A,accordion,often associated with european music,often associated with European music,1,20,0.05
A,accordion,often featured in european and american folk music,often featured in European and American folk music,1,20,0.05
A,accordion,often played at social gatherings,often played at social gatherings,2,20,0.1
A,accordion,often used in folk and traditional music,often used in folk and traditional music,1,20,0.05
A,accordion,often used in folk music,often used in folk music,11,20,0.55
A,accordion,often used in polka and klezmer,Often used in polka and klezmer,1,20,0.05
A,accordion,often used in polka and klezmer music,Often used in polka and klezmer music,3,20,0.15
A,accordion,played by squeezing and expanding,played by squeezing and expanding,2,20,0.1
A,accordion,played by squeezing and expanding bellows,played by squeezing and expanding bellows,1,20,0.05
A,accordion,played by squeezing and expanding the bellows,played by squeezing and expanding the bellows,1,20,0.05
A,accordion,popular in european and american cultures,popular in European and American cultures,1,20,0.05
A,accordion,portable and can be played while standing or sitting,portable and can be played while standing or sitting,1,20,0.05
A,accordion,portable and handheld,portable and handheld,3,20,0.15
A,accordion,portable musical instrument,Portable musical instrument,16,20,0.8
A,accordion,produces a distinctive vibrato sound,produces a distinctive vibrato sound,2,20,0.1
A,accordion,produces sound by air movement,produces sound by air movement,7,20,0.35
A,accordion,produces sound by squeezing and expanding bellows,produces sound by squeezing and expanding bellows,1,20,0.05
A,accordion,produces sound through bellows,produces sound through bellows,4,20,0.2
A,accordion,produces sound through reeds,Produces sound through reeds,6,20,0.3
A,accordion,requires both hands for playing,requires both hands for playing,1,20,0.05
A,accordion,requires both hands to play,Requires both hands to play,6,20,0.3
A,accordion,requires breath control and finger dexterity,requires breath control and finger dexterity,1,20,0.05
A,accordion,requires breath control for optimal sound,requires breath control for optimal sound,1,20,0.05
A,accordion,requires breath control for playing,requires breath control for playing,1,20,0.05
A,accordion,requires breath control for volume,requires breath control for volume,1,20,0.05
A,accordion,requires breath control to play,requires breath control to play,1,20,0.05
A,accordion,requires manual air pressure,Requires manual air pressure,1,20,0.05
A,accordion,requires manual dexterity,requires manual dexterity,1,20,0.05
A,accordion,requires manual pumping,requires manual pumping,1,20,0.05
A,accordion,requires manual pumping for air,requires manual pumping for air,1,20,0.05
A,accordion,requires manual pumping of air,requires manual pumping of air,1,20,0.05
A,accordion,requires manual pumping of bellows,Requires manual pumping of bellows,1,20,0.05
A,accordion,requires two hands to play,Requires two hands to play,2,20,0.1
A,accordion,used in folk and traditional music,used in folk and traditional music,2,20,0.1
A,accordion,used in genres like polka and tango,used in genres like polka and tango,3,20,0.15
A,accordion,used in polka and klezmer music,used in polka and klezmer music,1,20,0.05
A,accordion,used in various genres like polka and klezmer,used in various genres like polka and klezmer,1,20,0.05
A,accordion,used in various genres like polka and tango,Used in various genres like polka and tango,5,20,0.25
A,accordion,used in various music genres like folk and klezmer,used in various music genres like folk and klezmer,1,20,0.05
A,accordion,varies in size and button layout,Varies in size and button layout,1,20,0.05
A,accordion,varies in size and number of keys,varies in size and number of keys,1,20,0.05
A,accordion,varieties include button and piano accordions,Varieties include button and piano accordions,2,20,0.1
A,adjustable spanner,also known as a crescent wrench,also known as a crescent wrench,1,20,0.05
A,adjustable spanner,available in different lengths,Available in different lengths,1,20,0.05
A,adjustable spanner,available in different sizes,available in different sizes,1,20,0.05
A,adjustable spanner,available in various lengths,Available in various lengths,1,20,0.05
A,adjustable spanner,available in various sizes and lengths,available in various sizes and lengths,2,20,0.1
A,adjustable spanner,can adjust to different sizes,Can adjust to different sizes,2,20,0.1
A,adjustable spanner,can adjust to fit different bolt sizes,can adjust to fit different bolt sizes,1,20,0.05
A,adjustable spanner,can apply torque to fasteners,can apply torque to fasteners,1,20,0.05
A,adjustable spanner,can be adjusted using a screw mechanism,can be adjusted using a screw mechanism,1,20,0.05
A,adjustable spanner,can be adjusted with a screw mechanism,can be adjusted with a screw mechanism,1,20,0.05
A,adjustable spanner,can be found in toolboxes,Can be found in toolboxes,2,20,0.1
A,adjustable spanner,can be used in tight spaces,can be used in tight spaces,1,20,0.05
A,adjustable spanner,can be used on both metric and imperial fasteners,can be used on both metric and imperial fasteners,2,20,0.1
A,adjustable spanner,can be used on hexagonal and square nuts,can be used on hexagonal and square nuts,1,20,0.05
A,adjustable spanner,can be used on pipes and fittings,can be used on pipes and fittings,1,20,0.05
A,adjustable spanner,can fit a range of bolt sizes,can fit a range of bolt sizes,1,20,0.05
A,adjustable spanner,can fit a range of nut sizes,can fit a range of nut sizes,2,20,0.1
A,adjustable spanner,can fit multiple sizes of fasteners,can fit multiple sizes of fasteners,1,20,0.05
A,adjustable spanner,can fit multiple sizes of nuts,can fit multiple sizes of nuts,1,20,0.05
A,adjustable spanner,can fit multiple sizes of nuts and bolts,can fit multiple sizes of nuts and bolts,2,20,0.1
A,adjustable spanner,can fit various sizes,Can fit various sizes,1,20,0.05
A,adjustable spanner,can fit various sizes of fasteners,can fit various sizes of fasteners,3,20,0.15
A,adjustable spanner,can slip if not properly tightened,can slip if not properly tightened,1,20,0.05
A,adjustable spanner,comes in different sizes,comes in different sizes,1,20,0.05
A,adjustable spanner,comes in various sizes,comes in various sizes,10,20,0.5
A,adjustable spanner,common tool in a toolbox,common tool in a toolbox,1,20,0.05
A,adjustable spanner,common tool in mechanics,Common tool in mechanics,1,20,0.05
A,adjustable spanner,commonly found in toolboxes,commonly found in toolboxes,4,20,0.2
A,adjustable spanner,commonly used by mechanics,Commonly used by mechanics,5,20,0.25
A,adjustable spanner,commonly used by mechanics and diy enthusiasts,commonly used by mechanics and DIY enthusiasts,1,20,0.05
A,adjustable spanner,commonly used by mechanics and plumbers,commonly used by mechanics and plumbers,3,20,0.15
A,adjustable spanner,commonly used by plumbers and mechanics,commonly used by plumbers and mechanics,1,20,0.05
A,adjustable spanner,designed to minimize slippage during use,designed to minimize slippage during use,1,20,0.05
A,adjustable spanner,durable and robust,durable and robust,1,20,0.05
A,adjustable spanner,grip can be adjusted using a screw mechanism,grip can be adjusted using a screw mechanism,1,20,0.05
A,adjustable spanner,grips different sizes of fasteners,grips different sizes of fasteners,1,20,0.05
A,adjustable spanner,grips objects securely,grips objects securely,2,20,0.1
A,adjustable spanner,grips securely to prevent slipping,Grips securely to prevent slipping,1,20,0.05
A,adjustable spanner,has a fixed jaw and a moving jaw,has a fixed jaw and a moving jaw,1,20,0.05
A,adjustable spanner,has a fixed jaw and an adjustable jaw,has a fixed jaw and an adjustable jaw,2,20,0.1
A,adjustable spanner,has a grip on the handle,has a grip on the handle,1,20,0.05
A,adjustable spanner,has a grip that provides leverage,has a grip that provides leverage,1,20,0.05
A,adjustable spanner,has a gripping mechanism,Has a gripping mechanism,4,20,0.2
A,adjustable spanner,has a gripping surface on both jaws,has a gripping surface on both jaws,1,20,0.05
A,adjustable spanner,has a handle for leverage,has a handle for leverage,6,20,0.3
A,adjustable spanner,has a locking mechanism,has a locking mechanism,4,20,0.2
A,adjustable spanner,has a locking mechanism to hold the jaw in place,Has a locking mechanism to hold the jaw in place,2,20,0.1
A,adjustable spanner,has a locking mechanism to secure the jaw,has a locking mechanism to secure the jaw,2,20,0.1
A,adjustable spanner,has a movable jaw,Has a movable jaw,15,20,0.75
A,adjustable spanner,has a movable jaw to fit different sizes,has a movable jaw to fit different sizes,4,20,0.2
A,adjustable spanner,has a ratcheting mechanism,Has a ratcheting mechanism,1,20,0.05
A,adjustable spanner,has a sturdy construction,has a sturdy construction,1,20,0.05
A,adjustable spanner,has an adjustable jaw,Has an adjustable jaw,1,20,0.05
A,adjustable spanner,jaw is adjusted using a worm gear mechanism,jaw is adjusted using a worm gear mechanism,1,20,0.05
A,adjustable spanner,jaw size can be adjusted,jaw size can be adjusted,10,20,0.5
A,adjustable spanner,jaw size can be adjusted to fit different sizes,jaw size can be adjusted to fit different sizes,1,20,0.05
A,adjustable spanner,jaws can be adjusted to different sizes,jaws can be adjusted to different sizes,1,20,0.05
A,adjustable spanner,made of durable metal,made of durable metal,2,20,0.1
A,adjustable spanner,made of metal,Made of metal,9,20,0.45
A,adjustable spanner,made of metal for durability,made of metal for durability,1,20,0.05
A,adjustable spanner,"made of metal, usually steel","made of metal, usually steel",1,20,0.05
A,adjustable spanner,may have a locking mechanism,may have a locking mechanism,1,20,0.05
A,adjustable spanner,may have a locking screw,may have a locking screw,1,20,0.05
A,adjustable spanner,may have a smooth or serrated jaw,may have a smooth or serrated jaw,1,20,0.05
A,adjustable spanner,more versatile than fixed-size wrenches,more versatile than fixed-size wrenches,1,20,0.05
A,adjustable spanner,often found in toolboxes,often found in toolboxes,4,20,0.2
A,adjustable spanner,often has a knurled adjustment screw,often has a knurled adjustment screw,4,20,0.2
A,adjustable spanner,often has a knurled adjustment wheel,often has a knurled adjustment wheel,1,20,0.05
A,adjustable spanner,often has a smooth handle,often has a smooth handle,1,20,0.05
A,adjustable spanner,often part of a basic tool kit,often part of a basic tool kit,1,20,0.05
A,adjustable spanner,often part of a standard toolset,often part of a standard toolset,1,20,0.05
A,adjustable spanner,often part of a toolbox,often part of a toolbox,1,20,0.05
A,adjustable spanner,often part of a toolkit,often part of a toolkit,1,20,0.05
A,adjustable spanner,often used by mechanics,often used by mechanics,5,20,0.25
A,adjustable spanner,typically made of metal,typically made of metal,5,20,0.25
A,adjustable spanner,used by mechanics and diy enthusiasts,used by mechanics and DIY enthusiasts,1,20,0.05
A,adjustable spanner,used for tightening and loosening nuts and bolts,used for tightening and loosening nuts and bolts,3,20,0.15
A,adjustable spanner,used for tightening or loosening nuts and bolts,used for tightening or loosening nuts and bolts,9,20,0.45
A,adjustable spanner,used for turning nuts and bolts,Used for turning nuts and bolts,8,20,0.4
A,adjustable spanner,used in automotive repair,Used in automotive repair,1,20,0.05
A,adjustable spanner,used in automotive repair and maintenance,used in automotive repair and maintenance,1,20,0.05
A,adjustable spanner,used in plumbing and automotive repair,used in plumbing and automotive repair,2,20,0.1
A,adjustable spanner,used in plumbing and automotive repairs,used in plumbing and automotive repairs,4,20,0.2
A,adjustable spanner,used in plumbing and mechanical work,used in plumbing and mechanical work,1,20,0.05
A,adjustable spanner,used in plumbing and mechanics,used in plumbing and mechanics,1,20,0.05
A,adjustable spanner,used in various mechanical repairs,used in various mechanical repairs,1,20,0.05
A,adjustable spanner,usually has a knurled adjusting screw,usually has a knurled adjusting screw,1,20,0.05
A,adjustable spanner,usually made of metal,usually made of metal,2,20,0.1
A,airplane,can carry passengers and cargo,can carry passengers and cargo,1,20,0.05
A,airplane,can fly at high altitudes,can fly at high altitudes,2,20,0.1
A,airplane,can operate at high altitudes,can operate at high altitudes,1,20,0.05
A,airplane,can operate in various weather conditions,can operate in various weather conditions,2,20,0.1
A,airplane,can travel long distances,can travel long distances,3,20,0.15
A,airplane,can vary in size from small private planes to large commercial jets,can vary in size from small private planes to large commercial jets,1,20,0.05
A,airplane,can vary in size from small to large,can vary in size from small to large,1,20,0.05
A,airplane,can vary in size from small to very large,can vary in size from small to very large,4,20,0.2
A,airplane,carries passengers and cargo,carries passengers and cargo,19,20,0.95
A,airplane,comes in various sizes,comes in various sizes,1,20,0.05
A,airplane,comes in various sizes and models,comes in various sizes and models,2,20,0.1
A,airplane,comes in various sizes and types,comes in various sizes and types,2,20,0.1
A,airplane,constructed from lightweight materials,constructed from lightweight materials,1,20,0.05
A,airplane,controlled by pilots,controlled by pilots,4,20,0.2
A,airplane,equipped with navigation and communication systems,equipped with navigation and communication systems,1,20,0.05
A,airplane,equipped with navigation systems,equipped with navigation systems,5,20,0.25
A,airplane,features pressurized cabins,features pressurized cabins,2,20,0.1
A,airplane,flies at high altitudes,flies at high altitudes,6,20,0.3
A,airplane,flies through the air,flies through the air,12,20,0.6
A,airplane,found at airports,found at airports,1,20,0.05
A,airplane,has a cockpit for flight controls,has a cockpit for flight controls,1,20,0.05
A,airplane,has a cockpit for pilots,has a cockpit for pilots,2,20,0.1
A,airplane,has a fuselage for passengers and crew,has a fuselage for passengers and crew,1,20,0.05
A,airplane,has a fuselage for seating and storage,has a fuselage for seating and storage,1,20,0.05
A,airplane,has a fuselage to house people and goods,has a fuselage to house people and goods,1,20,0.05
A,airplane,has a pressurized cabin,has a pressurized cabin,1,20,0.05
A,airplane,has wings for flight,has wings for flight,1,20,0.05
A,airplane,has wings for lift,has wings for lift,19,20,0.95
A,airplane,made of lightweight materials,made of lightweight materials,4,20,0.2
A,airplane,navigated by pilots,navigated by pilots,2,20,0.1
A,airplane,navigated using advanced avionics,navigated using advanced avionics,1,20,0.05
A,airplane,navigated using gps and radar,navigated using GPS and radar,4,20,0.2
A,airplane,navigated using instruments,navigated using instruments,3,20,0.15
A,airplane,often associated with airports,often associated with airports,1,20,0.05
A,airplane,often associated with travel and tourism,often associated with travel and tourism,1,20,0.05
A,airplane,often has a pressurized cabin,often has a pressurized cabin,1,20,0.05
A,airplane,often used for business and leisure travel,often used for business and leisure travel,1,20,0.05
A,airplane,operated by pilots,operated by pilots,11,20,0.55
A,airplane,operates at high altitudes,operates at high altitudes,1,20,0.05
A,airplane,powered by engines,powered by engines,1,20,0.05
A,airplane,powered by jet engines or propellers,powered by jet engines or propellers,3,20,0.15
A,airplane,propelled by engines,propelled by engines,10,20,0.5
A,airplane,propelled by jet engines or propellers,propelled by jet engines or propellers,1,20,0.05
A,airplane,requires a runway for takeoff and landing,requires a runway for takeoff and landing,16,20,0.8
A,airplane,requires an airport for takeoff and landing,requires an airport for takeoff and landing,1,20,0.05
A,airplane,requires regular maintenance,requires regular maintenance,1,20,0.05
A,airplane,requires runways for takeoff and landing,requires runways for takeoff and landing,1,20,0.05
A,airplane,subject to air traffic control,subject to air traffic control,4,20,0.2
A,airplane,subject to strict safety regulations,subject to strict safety regulations,2,20,0.1
A,airplane,travels at high altitudes,travels at high altitudes,1,20,0.05
A,airplane,travels long distances quickly,travels long distances quickly,2,20,0.1
A,airplane,"used for commercial, military, and private purposes","used for commercial, military, and private purposes",1,20,0.05
A,airplane,used for long-distance travel,used for long-distance travel,14,20,0.7
A,airplane,uses engines for propulsion,uses engines for propulsion,1,20,0.05
A,airplane,uses fuel for propulsion,uses fuel for propulsion,1,20,0.05
A,airplane,uses jet engines or propellers,uses jet engines or propellers,4,20,0.2
A,airplane,uses navigation systems for flight,uses navigation systems for flight,1,20,0.05
A,airplane,uses navigation systems for flight paths,uses navigation systems for flight paths,1,20,0.05
