job_id,word_original,word_normalized,row_hash,feature_id,feature_text,judge_id,judge_prompt_variant,judge_model,feature_value,confidence,ambiguous,reason,raw_json,parse_error,prompt_hash
v4_atomic_shard_0000,airplane,airplane,478c6d52cd0b940bf16d35e28490b320fd71ce6f1d272230018faf39dd1dadd6,88,has a beak,B,B,Qwen2.5-72B-Instruct,0,1,False,Airplanes do not have beaks; this feature is irrelevant and would not be spontaneously listed.,,,1c3818480a691d7d6eae1c02f4a3241d540aaf3196be439ae8e57225e8cfea41
v4_atomic_shard_0000,airplane,airplane,478c6d52cd0b940bf16d35e28490b320fd71ce6f1d272230018faf39dd1dadd6,88,has a beak,C,C,Qwen2.5-72B-Instruct,0,1.0,False,An airplane does not have a beak; this feature is not applicable and would not be spontaneously listed.,,,8b1ff1e40652c32f065166cd1282a3fa5eb1136fddaaf1c7e8a65ab2884d7281
v4_atomic_shard_0000,sparrow,sparrow,ce7622eeffcd0226f860fb961714cc5d3fd81a606246711a007ffa434c382922,146,moves quickly,A,A,Qwen2.5-72B-Instruct,3,0.8,False,"Sparrows are known for their quick movements, especially when flying or hopping.",,,2e73bb3f9c69aa3995e58c87ec462c204f841931544e9bd375d8f10d678bbaaf
v4_atomic_shard_0000,sparrow,sparrow,ce7622eeffcd0226f860fb961714cc5d3fd81a606246711a007ffa434c382922,146,moves quickly,B,B,Qwen2.5-72B-Instruct,2,0.8,False,"Sparrows do move quickly, but this is not one of their most salient features.",,,7d003facc0997715a0f6a83ac4f06a5021fec9e9a6b7671b90f854fa7206a512
v4_atomic_shard_0000,sparrow,sparrow,ce7622eeffcd0226f860fb961714cc5d3fd81a606246711a007ffa434c382922,146,moves quickly,C,C,Qwen2.5-72B-Instruct,3,0.85,False,"Sparrows are known for their quick movements, making this a strong and salient feature.",,,ddb6da078948cf50312b74ae5d87d2eac24a042ba1741622e9c1edd11dafc830
v4_atomic_shard_0000,toaster,toaster,214815479f1058bce5176f3c90468750d712a686bc30ac5c0a337e0cbd39e16b,21,has keys,A,A,Qwen2.5-72B-Instruct,0,0.95,False,"Toasters do not typically have keys, and this feature would not be spontaneously mentioned.",,,a61f0b52da3334e6b518514835da3708b0b4974592747837e17e1d65bea1651a
v4_atomic_shard_0000,toaster,toaster,214815479f1058bce5176f3c90468750d712a686bc30ac5c0a337e0cbd39e16b,21,has keys,B,B,Qwen2.5-72B-Instruct,0,1,False,"Toasters do not have keys, and this feature is not relevant to the typical function or description of a toaster.",,,75abc7680644ef21ab308054aa9ebe26538558a7975d08e7c083bb9d127a4504
v4_atomic_shard_0000,toaster,toaster,214815479f1058bce5176f3c90468750d712a686bc30ac5c0a337e0cbd39e16b,21,has keys,C,C,Qwen2.5-72B-Instruct,0,0.95,False,"A toaster does not have keys, and this feature would not be spontaneously listed by typical participants.",,,01cca046f329e64afc6314e3dd68d21b8c15b5eed71d82dcf14d3e71056cb18b
v4_atomic_shard_0000,horsefly,horsefly,e9a087306bd65f8745a2075d7029dea9668e5ecb94ec3a18b644f3486ae3b624,1,long tail,A,A,Qwen2.5-72B-Instruct,0,0.9,False,"Horseflies do not have long tails, and this feature is not typically mentioned when describing them.",,,d53e7a9918fdc2671cb1f185c8c2c3861ffffddfbfbd4b2ee49777e7725a00f5
v4_atomic_shard_0000,horsefly,horsefly,e9a087306bd65f8745a2075d7029dea9668e5ecb94ec3a18b644f3486ae3b624,1,long tail,B,B,Qwen2.5-72B-Instruct,0,0.95,False,"Horseflies do not have long tails; they have short, stubby abdomens.",,,6f4beebdd8ac2455ae698bcb788fa97d16fe700f8a3fd9fd2ca594535c289527
v4_atomic_shard_0000,horsefly,horsefly,e9a087306bd65f8745a2075d7029dea9668e5ecb94ec3a18b644f3486ae3b624,1,long tail,C,C,Qwen2.5-72B-Instruct,1,0.8,False,"A horsefly has a relatively long tail compared to some insects, but it's not a defining or commonly mentioned feature.",,,108062981aa23142e99c71d84a9fd1df2f15232b04f48312a4c201bae45827e8
v4_atomic_shard_0000,crowbar,crowbar,0d39980e6ef2853f86c3a116dffa48af3656ebca234e5266bd8964c7674e6563,171,slithers,A,A,Qwen2.5-72B-Instruct,0,1,False,"A crowbar does not slither, and this feature is not something people would spontaneously mention about a crowbar.",,,918fac1c19416fb109485468bff0f4dfa7e543ce05c32df26eeb9070887df848
v4_atomic_shard_0000,crowbar,crowbar,0d39980e6ef2853f86c3a116dffa48af3656ebca234e5266bd8964c7674e6563,171,slithers,B,B,Qwen2.5-72B-Instruct,0,1,False,"A crowbar does not slither, and this feature is not relevant to its function or characteristics.",,,cefd4d09f6e7db2f13280f5e4ca83e03c9d34c5ecc6c8697a8fca72a548ba7a4
v4_atomic_shard_0000,crowbar,crowbar,0d39980e6ef2853f86c3a116dffa48af3656ebca234e5266bd8964c7674e6563,171,slithers,C,C,Qwen2.5-72B-Instruct,0,1.0,False,A crowbar does not slither; this feature is not applicable and would not be spontaneously listed.,,,3b5c61c52aa361c4b05a8e103937abb45725c61ab8c775d1b9b8da924fcd2b96
v4_atomic_shard_0000,bazooka,bazooka,0fce02a22998c1cfe19e4ba22a752e88251efd021093a765e80f98c5449ffc1f,84,lives near water,A,A,Qwen2.5-72B-Instruct,0,1,False,"A bazooka is a weapon, and living near water is not a property that would be spontaneously associated with it.",,,f78237ad8ed3682919710e4143d4a46a9ebcf9cb9093166bc00e6a668723f569
v4_atomic_shard_0000,bazooka,bazooka,0fce02a22998c1cfe19e4ba22a752e88251efd021093a765e80f98c5449ffc1f,84,lives near water,B,B,Qwen2.5-72B-Instruct,0,1,False,The feature 'lives near water' is irrelevant and not likely to be spontaneously listed for a bazooka.,,,381a4ac5238dd45e0d2ecc7df0fee8f8fd1a12b032f19027d2d53558c4f979ad
v4_atomic_shard_0000,bazooka,bazooka,0fce02a22998c1cfe19e4ba22a752e88251efd021093a765e80f98c5449ffc1f,84,lives near water,C,C,Qwen2.5-72B-Instruct,0,0.95,False,A bazooka is not typically associated with living near water; this feature is not relevant or spontaneously listed.,,,b6c3b50318f09b897bbbf224144a605859515c8d82530026184a031544af540a
